bank,bank_agents,bank_envs,environment_steps,greedy_action_disagreement,mean_entropy_delta_drtp_minus_utr,mean_entropy_drtp,mean_entropy_utr,mean_js_divergence,mean_total_variation,milestone,seed,seed_class,source_contract,status
paired_utr_500k_runtime_obs,3,4,7000000,1.0,-0.0746150016784668,1.07668936252594,1.1513043642044067,0.5372750759124756,0.88951176404953,7m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7500000,0.5833333333333334,-0.19126392900943756,1.099958896636963,1.2912226915359497,0.2867923676967621,0.5516115427017212,7500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8000000,0.9166666666666666,-0.5271063446998596,0.9997994899749756,1.5269056558609009,0.399240106344223,0.7766227722167969,8m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,8500000,1.0,-0.025434570387005806,1.3346720933914185,1.3601068258285522,0.43115147948265076,0.7859475016593933,8500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9000000,0.9166666666666666,-0.6365225911140442,0.9916817545890808,1.6282042264938354,0.44839468598365784,0.7817432284355164,9m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,9500000,1.0,0.3189709484577179,1.3286222219467163,1.0096513032913208,0.4002445638179779,0.727402925491333,9500k,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,10000000,0.75,-0.10411664843559265,1.1601145267486572,1.2642310857772827,0.3134806156158447,0.6296539306640625,10m,1902,weak,strict,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,500000,0.75,0.12359560281038284,2.4385368824005127,2.31494140625,0.22246865928173065,0.5522174835205078,500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1000000,0.8333333333333334,-0.17556674778461456,1.833657145500183,2.009223461151123,0.3490259349346161,0.6746094226837158,1m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,1500000,0.75,-0.24051479995250702,1.3900833129882812,1.6305981874465942,0.3952193558216095,0.7234705090522766,1500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2000000,0.5,-0.37879565358161926,0.950222909450531,1.3290185928344727,0.25320395827293396,0.494223028421402,2m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,2500000,0.5833333333333334,-0.5984026789665222,0.8054634928703308,1.403866171836853,0.34205129742622375,0.610527515411377,2500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3000000,0.6666666666666666,-0.20564447343349457,1.063332200050354,1.2689766883850098,0.3348451852798462,0.6085658073425293,3m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,3500000,0.75,-0.22087378799915314,1.0904744863510132,1.3113481998443604,0.3257885277271271,0.6017118096351624,3500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4000000,0.6666666666666666,0.05114038288593292,0.9385461211204529,0.8874056935310364,0.3939708471298218,0.7136661410331726,4m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,4500000,0.8333333333333334,-0.1790667325258255,0.9290534853935242,1.1081202030181885,0.44201573729515076,0.7572608590126038,4500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5000000,0.8333333333333334,-0.0007194976205937564,1.0660468339920044,1.066766381263733,0.4392906725406647,0.7641531825065613,5m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,5500000,0.8333333333333334,-0.13333259522914886,0.899867832660675,1.0332003831863403,0.41834557056427,0.7514469027519226,5500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6000000,0.75,-0.4300978481769562,0.7565115094184875,1.1866093873977661,0.4396072328090668,0.7295060157775879,6m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,6500000,0.5833333333333334,-0.1841748207807541,0.8851476311683655,1.0693224668502808,0.3957709074020386,0.7007322311401367,6500k,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7000000,0.9166666666666666,-0.2364204376935959,0.7672166228294373,1.0036370754241943,0.47202005982398987,0.7938387393951416,7m,2001,strong,heldout,estimated_from_archived_runtime_states
paired_utr_500k_runtime_obs,3,4,7500000,0.9166666666666666,0.026908347383141518,0.8291624188423157,0.8022541403770447,0.5061307549476624,0.8440430164337158,7500k,2001,strong,heldout,estimated_from_archived_runtime_states
