method,seed,phase,tau,records,direct_path_rate,relay_path_rate,any_information_path_rate,valid_target_information_rate,task_support_rate,attack_window_rate,cache_mean_age,path_switch_rate,timeout_rate,collision_rate
drtp_sg,2702,0.50-0.75M,0,964,0.0,0.49066390041493774,0.49066390041493774,0.49066390041493774,0.0,0.0,4.970262793914246,0.5093360995850622,0.0,0.0
drtp_sg,2702,0.50-0.75M,20,963,0.0,0.49221183800623053,0.49221183800623053,0.49221183800623053,0.0,0.0,17.40256143994462,0.0010384215991692627,0.0,0.0
drtp_sg,2702,0.50-0.75M,60,963,0.023883696780893044,0.7528556593977155,0.7767393561786086,0.7767393561786086,0.03426791277258567,0.03842159916926272,18.650744202146072,0.03115264797507788,0.0,0.0
drtp_sg,2702,0.75-1.00M,0,965,0.0,0.5481865284974093,0.5481865284974093,0.5481865284974093,0.0,0.0,6.322970639032816,0.45181347150259066,0.0,0.0
drtp_sg,2702,0.75-1.00M,20,965,0.0,0.5544041450777202,0.5544041450777202,0.5544041450777202,0.0,0.0,20.179965457685665,0.002072538860103627,0.0,0.0
drtp_sg,2702,0.75-1.00M,60,964,0.032157676348547715,0.7987551867219918,0.8309128630705395,0.8309128630705395,0.038381742738589214,0.04149377593360996,15.144190871369295,0.04253112033195021,0.0,0.0
drtp_sg,2703,0-0.25M,0,964,0.00933609958506224,0.487551867219917,0.49688796680497926,0.49688796680497926,0.00933609958506224,0.03734439834024896,12.754840940525588,0.5093360995850622,0.0,0.0
drtp_sg,2703,0-0.25M,20,964,0.0,0.5020746887966805,0.5020746887966805,0.5020746887966805,0.0,0.0,29.05048409405256,0.0,0.0,0.0
drtp_sg,2703,0-0.25M,60,962,0.0010395010395010396,0.4760914760914761,0.47713097713097713,0.47713097713097713,0.002079002079002079,0.002079002079002079,45.68572418572418,0.01975051975051975,0.0,0.0
drtp_sg,2703,0.25-0.50M,0,961,0.003121748178980229,0.5296566077003122,0.5327783558792925,0.5327783558792925,0.003121748178980229,0.005202913631633715,7.573361082206035,0.4672216441207076,0.0,0.0
drtp_sg,2703,0.25-0.50M,20,961,0.001040582726326743,0.5338189386056191,0.5348595213319459,0.5348595213319459,0.0,0.0,21.214706902532082,0.0,0.0,0.0
drtp_sg,2703,0.25-0.50M,60,963,0.009345794392523364,0.6926272066458983,0.7019730010384216,0.7019730010384216,0.01142263759086189,0.012461059190031152,24.983385254413292,0.023883696780893044,0.0,0.0
drtp_sg,2703,0.50-0.75M,0,966,0.2463768115942029,0.5362318840579711,0.782608695652174,0.782608695652174,0.2536231884057971,0.3033126293995859,5.318495514147688,0.2598343685300207,0.0,0.0
drtp_sg,2703,0.50-0.75M,20,965,0.2860103626943005,0.5284974093264249,0.8145077720207254,0.8145077720207254,0.12953367875647667,0.14818652849740932,16.8272884283247,0.06010362694300518,0.0,0.0
drtp_sg,2703,0.50-0.75M,60,963,0.2523364485981308,0.5524402907580478,0.8047767393561787,0.8047767393561787,0.24922118380062305,0.25960539979231567,28.938386985115958,0.07995846313603323,0.0,0.0
drtp_sg,2703,0.75-1.00M,0,973,0.40493319630010277,0.5457348406988695,0.9506680369989723,0.9506680369989723,0.3319630010277492,0.37923946557040084,4.407331277834874,0.11819116135662898,0.0,0.0
