scenario,graph_encoder,train_method,train_seed,method,checkpoint,policy_source,seed,episode,episodes,target_policy,communication_range_scale,communication_dropout_prob,message_delay_steps,radar_dropout_prob,failed_blue_agent,node_failure_start_step,node_failure_duration_steps,deterministic,success,chain_closed,attack_window_formed,attack_window_rate,tracking_rate,comm_connectivity,mean_message_age,collision,timeout,constraint_violation,steps,avg_mean_range,final_mean_range,reward_sum
dropout_030,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.3,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4609929120286982,0.7553191562282279,44.59929067403712,0.0,0.0,0.0,47.0,14445.964417802526,4594.65625,39.5888946056366
dropout_030,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.3,0,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,0.7056737665800338,48.25177299817826,0.0,0.0,0.0,47.0,14505.747891040559,4686.96728515625,38.79422780871391
delay_2,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,2,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,44.044444444444444,0.0,0.0,0.0,45.0,14853.011859809028,5188.80029296875,40.24180060625076
delay_2,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,2,0.0,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,48.90909090909091,0.0,0.0,0.0,44.0,15106.582175514915,5716.27294921875,39.04380053281784
delay_2,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,2,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,43.208333333333336,0.0,0.0,0.0,48.0,14278.808705647787,4315.26513671875,42.67649868130684
delay_2,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80003,3,5,straight,1.0,0.0,2,0.0,-1,0,0,True,1.0,1.0,1.0,0.028985508110212242,0.44927536663801776,1.0,43.130434782608695,0.0,0.0,0.0,46.0,14632.401048743206,4826.234375,41.21767458319664
delay_2,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80004,4,5,straight,1.0,0.0,2,0.0,-1,0,0,True,1.0,1.0,1.0,0.02836879517169709,0.4539007132357739,1.0,49.57446808510638,0.0,0.0,0.0,47.0,14505.090165807846,4681.08935546875,41.52668324112892
delay_5,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80000,0,5,straight,1.0,0.0,5,0.0,-1,0,0,True,1.0,1.0,1.0,0.029629630512661403,0.4370370414521959,1.0,46.55555555555556,0.0,0.0,0.0,45.0,14853.011859809028,5188.80029296875,40.164148688316345
delay_5,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80001,1,5,straight,1.0,0.0,5,0.0,-1,0,0,True,1.0,1.0,1.0,0.03030303120613098,0.4242424287579276,1.0,51.36363636363637,0.0,0.0,0.0,44.0,15106.548595081676,5715.48876953125,38.9769007563591
delay_5,single,bc_ppo,0,EA-RG-MAPPO-S,results/intercept_3d_single_matched_protocol/runs/bc_ppo_seed0/actor_critic_best.pt,checkpoint,80002,2,5,straight,1.0,0.0,5,0.0,-1,0,0,True,1.0,1.0,1.0,0.027777778605620067,0.46527778171002865,1.0,45.729166666666664,0.0,0.0,0.0,48.0,14278.808705647787,4315.26513671875,42.59212335944176
