method,training_contract,training_seed,condition,family,episodes,J,J_sd_episode_descriptive,collision,timeout,constraint_violation,failure_exposure_all_episodes,survival_to_onset_fraction,trigger_success_among_risk_set,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,path_switch_count
DRTP-SG-MAPPO,strict_development_10M,1902,U4_scout_failure_symmetric_direct_prune,structural_ood,50,53.702999819926916,22.199301579951797,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,156634.96101135254,1059.04,0.0,0.8817499999999998,0.08324999999999999,0.9997499999999999,2.12
DRTP-SG-MAPPO,strict_development_10M,1902,U5_relay_failure_directed_direct_prune,structural_ood,50,159.52694084592164,12.30018078970958,0.0,0.76,0.0,1.0,1.0,1.0,0.0,260.0,152065.92353393554,974.24,0.16524999999999998,0.0,0.3135,0.4780000000000003,2.92
DRTP-SG-MAPPO,strict_development_10M,1902,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,155.31295956425367,14.195450512716903,0.0,0.72,0.0,1.0,1.0,1.0,0.0,260.0,151506.80909301757,962.5,0.16524999999999998,0.0,0.3135,0.4780000000000003,2.92
DRTP-SG-MAPPO,strict_development_10M,1902,parameter_duration_44_140,parameter_ood,50,151.19432096645235,60.748259247079574,0.0,0.64,0.0,1.0,1.0,1.0,0.0,260.0,151683.3759802246,933.08,0.23971428571428569,0.0,0.4821428571428571,0.7017142857142854,4.8
DRTP-SG-MAPPO,strict_development_10M,1902,parameter_timing_20_80,parameter_ood,50,135.81912758111955,67.39658456847695,0.0,0.78,0.0,1.0,1.0,1.0,0.0,260.0,151161.47227111817,948.02,0.12299999999999996,0.0,0.0535,0.17074999999999993,2.92
DRTP-SG-MAPPO,strict_development_10M,1902,reference_nominal,reference,50,186.93240730024874,10.282712600908784,0.0,0.5,0.0,0.0,nan,nan,0.0,260.0,151214.4433001709,947.9,0.0,0.0,0.0,0.0,1.36
DRTP-SG-MAPPO,strict_development_10M,1902,seen_f0_44_80,seen_relay_failure,50,151.9887354708463,61.93563892882421,0.0,0.82,0.0,1.0,1.0,1.0,0.0,260.0,151915.56422912597,949.16,0.23324999999999996,0.0,0.2845,0.4780000000000003,4.12
UTR-SG-MAPPO,T1_clean_development_1M,2201,U1_scout_node_failure,structural_ood,50,59.86605274557136,9.722106058133638,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,163859.30905517578,844.86,0.0,0.8512500000000004,0.1115,0.9042500000000002,5.64
UTR-SG-MAPPO,T1_clean_development_1M,2201,U2_static_symmetric_direct_prune,structural_ood,50,70.94986239461228,6.141228979578739,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,163818.23435668944,751.16,0.0,0.0,0.0,0.0,13.12
UTR-SG-MAPPO,T1_clean_development_1M,2201,U3_static_directed_scout_to_attacker_prune,structural_ood,50,75.41098466867581,6.177496796211946,0.0,1.0,0.0,0.0,0.0,nan,0.0,260.0,163794.95681945802,754.62,0.0,0.0,0.0,0.0,13.16
UTR-SG-MAPPO,T1_clean_development_1M,2201,U4_scout_failure_symmetric_direct_prune,structural_ood,50,47.09215304024517,8.402085938619846,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,164459.85361206054,796.76,0.0,0.8512500000000004,0.1115,0.9042500000000002,5.64
UTR-SG-MAPPO,T1_clean_development_1M,2201,U5_relay_failure_directed_direct_prune,structural_ood,50,54.35192342311144,7.180690287387126,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,163343.2462652588,778.04,0.49875,0.0,0.23600000000000004,0.5282500000000001,6.36
UTR-SG-MAPPO,T1_clean_development_1M,2201,U6_relay_failure_symmetric_direct_prune,structural_ood_diagnostic,50,49.84676394831389,7.246771925313174,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,163354.65556518556,773.72,0.49875,0.0,0.23600000000000004,0.5282500000000001,6.36
UTR-SG-MAPPO,T1_clean_development_1M,2201,parameter_duration_44_140,parameter_ood,50,59.61371751010418,5.381430069941794,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,163323.4679888916,770.32,0.7054285714285713,0.0,0.26185714285714284,0.7304285714285715,9.0
UTR-SG-MAPPO,T1_clean_development_1M,2201,parameter_timing_20_80,parameter_ood,50,49.90277011845261,8.491937349562132,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,164239.86580200196,829.6,0.22024999999999997,0.0,0.024250000000000004,0.23074999999999996,3.76
UTR-SG-MAPPO,T1_clean_development_1M,2201,reference_nominal,reference,50,83.3572368738614,5.040647503076345,0.0,1.0,0.0,0.0,nan,nan,0.0,260.0,163543.4478363037,779.66,0.0,0.0,0.0,0.0,16.0
UTR-SG-MAPPO,T1_clean_development_1M,2201,seen_f0_44_80,seen_relay_failure,50,60.14122960742563,6.935880424096756,0.0,1.0,0.0,1.0,1.0,1.0,0.0,260.0,163060.00090515136,812.56,0.4967499999999998,0.0,0.22875000000000004,0.5282500000000001,6.92
UTR-SG-MAPPO,T1_clean_development_1M,2202,U1_scout_node_failure,structural_ood,50,165.58108252472243,33.5085401059331,0.02,0.64,0.0,1.0,1.0,1.0,0.0,257.32,141196.61123657227,1093.62,0.0,0.358,0.4917499999999999,0.9980000000000001,22.12
