protocol,episode_id,condition,family,J,terminal_step,success,collision,timeout,constraint_violation,failure_exposed,alive_at_onset,failure_trigger_success,pre_trigger_collision,episode_length,traveled_distance,control_effort,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,path_switch_count,method,training_contract,training_seed,checkpoint_sha256
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950025,reference_nominal,reference,83.70629508793354,260,0,0,1,0,0,0,,0,260,164124.02197265625,734.0,0.0,0.0,0.0,0.0,11,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950026,reference_nominal,reference,80.99997575953603,260,0,0,1,0,0,0,,0,260,163283.0350341797,785.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950027,reference_nominal,reference,73.5937523227185,260,0,0,1,0,0,0,,0,260,163569.08428955078,726.0,0.0,0.0,0.0,0.0,9,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950028,reference_nominal,reference,86.26406525168568,260,0,0,1,0,0,0,,0,260,163541.08575439453,733.0,0.0,0.0,0.0,0.0,21,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950029,reference_nominal,reference,79.15944262314588,260,0,0,1,0,0,0,,0,260,163183.00332641602,777.0,0.0,0.0,0.0,0.0,19,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950030,reference_nominal,reference,90.25662634521723,260,0,0,1,0,0,0,,0,260,163568.0819091797,762.0,0.0,0.0,0.0,0.0,27,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950031,reference_nominal,reference,76.06530329957604,260,0,0,1,0,0,0,,0,260,163465.03060913086,775.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950032,reference_nominal,reference,78.36180709768087,260,0,0,1,0,0,0,,0,260,163172.0369873047,782.0,0.0,0.0,0.0,0.0,21,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950033,reference_nominal,reference,86.64798430819064,260,0,0,1,0,0,0,,0,260,163476.07092285156,780.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950034,reference_nominal,reference,77.78395745530725,260,0,0,1,0,0,0,,0,260,163285.00610351562,825.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950035,reference_nominal,reference,79.77741996292025,260,0,0,1,0,0,0,,0,260,163225.96710205078,782.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950036,reference_nominal,reference,81.4905827799812,260,0,0,1,0,0,0,,0,260,164084.03060913086,721.0,0.0,0.0,0.0,0.0,7,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950037,reference_nominal,reference,92.07564171403646,260,0,0,1,0,0,0,,0,260,162979.09414672852,770.0,0.0,0.0,0.0,0.0,31,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950038,reference_nominal,reference,84.48170843720436,260,0,0,1,0,0,0,,0,260,163855.0913696289,739.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950039,reference_nominal,reference,90.87695641443133,260,0,0,1,0,0,0,,0,260,163493.05908203125,792.0,0.0,0.0,0.0,0.0,25,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950040,reference_nominal,reference,87.83273348212242,260,0,0,1,0,0,0,,0,260,163645.0770263672,741.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950041,reference_nominal,reference,87.68478436116129,260,0,0,1,0,0,0,,0,260,163449.06912231445,792.0,0.0,0.0,0.0,0.0,17,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950042,reference_nominal,reference,85.13977817911655,260,0,0,1,0,0,0,,0,260,163981.02584838867,842.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950043,reference_nominal,reference,79.03836754523218,260,0,0,1,0,0,0,,0,260,162927.0093383789,783.0,0.0,0.0,0.0,0.0,5,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950044,reference_nominal,reference,84.54998753685504,260,0,0,1,0,0,0,,0,260,163918.0265197754,832.0,0.0,0.0,0.0,0.0,13,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
G0-ZERO-SHOT-TOPOLOGY-EVALUATION-V1,950045,reference_nominal,reference,90.23646808601916,260,0,0,1,0,0,0,,0,260,164177.06936645508,839.0,0.0,0.0,0.0,0.0,15,UTR-SG-MAPPO,T1_clean_development_1M,2201,d374ce8eab4f51926839306de5076bf17fbbbe89a58716a546cd62d525ea8a69
