graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
single,34,46,0,0,0,0
single,35,46,0,0,0,0
single,36,46,0,0,0,0
single,37,46,0,0,0,0
single,38,46,0,0,0,0
single,39,46,0,0,0,0
single,40,46,0,0,0,0
single,41,46,0,0,0,0
single,42,46,0,0,0,0
single,43,46,0,0,0,0
single,44,46,0,0,0,0
single,45,46,0,0,0,0
single,46,46,0,0,0,0
single,47,46,0,0,0,0
single,48,46,0,0,0,0
single,49,46,0,0,0,0
single,50,46,0,0,0,0
single,51,46,0,0,0,0
single,52,46,0,0,0,0
single,53,46,0,0,0,0
single,54,46,0,0,0,0
single,55,46,0,0,0,0
single,56,46,0,0,0,0
single,57,46,0,0,0,0
single,58,46,0,0,0,0
single,59,46,0,0,0,0
single,60,46,0,0,0,0
single,61,46,0,0,0,0
single,62,46,0,0,0,0
single,63,46,0,0,0,0
single,64,46,0,0,0,0
single,65,46,0,0,0,0
single,66,46,0,0,0,0
single,67,46,0,0,0,0
single,68,46,0,0,0,0
single,69,46,0,0,0,0
single,70,46,0,0,0,0
single,71,46,0,0,0,0
single,72,46,0,0,0,0
single,73,46,0,0,0,0
single,74,46,0,0,0,0
single,75,46,0,0,0,0
single,76,46,0,0,0,0
single,77,46,0,0,0,0
single,78,46,0,0,0,0
single,79,46,0,0,0,0
single,80,46,0,0,0,0
single,81,46,0,0.00724638,0,0
single,82,46,0,0.00724638,0,0
single,83,46,0,0.00724638,0,0
single,84,46,0,0.00362319,0,0
single,85,46,0,0.00362319,0,0
single,86,46,0,0.00362319,0,0
single,87,46,0,0.00724638,0,0
single,88,46,0,0.00362319,0,0
single,89,46,0,0,0,0
single,90,46,0,0.00362319,0,0
single,91,46,0,0.00724638,0,0
single,92,46,0,0.00724638,0,0
single,93,46,0,0.00724638,0,0
single,94,46,0,0,0,0
single,95,46,0,0,0,0
single,96,46,0,0,0,0
single,97,46,0,0,0,0
single,98,46,0,0,0,0
single,99,46,0,0,0,0
single,100,46,0,0,0,0
single,101,46,0,0,0,0
single,102,46,0,0,0,0
single,103,46,0,0,0,0
single,104,46,0,0,0,0
single,105,46,0,0,0,0
single,106,46,0,0,0,0
single,107,46,0,0,0,0
single,108,46,0,0,0,0
single,109,46,0,0,0,0
single,110,46,0,0,0,0
single,111,46,0,0,0,0
single,112,46,0,0,0,0
single,113,46,0,0,0,0
single,114,46,0,0,0,0
single,115,46,0,0,0,0
single,116,46,0,0,0,0
single,117,46,0,0,0,0
single,118,46,0,0,0,0
single,119,46,0,0,0,0
single,120,46,0,0,0,0
single,121,46,0,0,0,0
single,122,46,0,0,0,0
single,123,46,0,0,0,0
single,124,46,0,0,0,0
single,125,46,0,0,0,0
single,126,46,0,0,0,0
single,127,46,0,0,0,0
single,128,46,0,0,0,0
single,129,46,0,0,0,0
single,130,46,0,0,0,0
single,131,46,0,0,0,0
single,132,46,0,0,0,0
single,133,46,0,0,0,0
single,134,46,0.00724638,0,0,0
single,135,46,0.00724638,0,0,0
single,136,46,0.00724638,0,0,0
single,137,46,0.00724638,0,0.0217391,0.0217391
single,138,45,0,0,0,0
single,139,45,0,0,0,0
single,140,45,0,0,0,0
single,141,45,0,0,0,0
single,142,45,0,0,0,0
single,143,45,0.00740741,0,0,0
single,144,45,0,0,0,0
single,145,45,0,0,0,0
single,146,45,0,0,0,0
single,147,45,0,0,0,0
single,148,45,0,0,0,0
single,149,45,0,0,0,0
single,150,45,0,0,0,0
single,151,45,0,0,0,0
single,152,45,0,0,0,0
single,153,45,0,0,0,0
single,154,45,0,0,0,0
single,155,45,0,0,0,0
single,156,45,0,0,0,0
single,157,45,0,0,0,0
single,158,45,0,0,0,0
single,159,45,0,0,0,0
single,160,45,0,0,0,0
single,161,45,0,0,0,0
single,162,45,0,0,0,0
single,163,45,0,0,0,0
single,164,45,0,0,0,0
single,165,45,0,0,0,0
single,166,45,0,0,0,0
single,167,45,0,0,0,0
single,168,45,0,0,0,0
single,169,45,0,0,0,0
single,170,45,0,0,0,0
single,171,45,0,0,0,0
single,172,45,0,0,0,0
single,173,45,0,0,0,0
single,174,45,0,0,0,0
single,175,45,0,0,0,0
single,176,45,0,0,0,0
single,177,45,0,0,0,0
single,178,45,0,0,0,0
single,179,45,0,0,0,0
