arm,seed,milestone_update,selection_count,adaptation_count,trust_activation_rate,mean_q_step_l1,mean_pre_tr_l1,exposure_F0,exposure_TE,exposure_TL,exposure_DS,exposure_DL,exposure_CP,q_uniform_l1
conservative_drtp_sg,3001,2930,967,30,0.03333333333333333,0.013182874111578157,0.013227831350428447,0.08479834539813857,0.08066184074457083,0.07652533609100311,0.07445708376421924,0.08479834539813857,0.08066184074457083,0.051859224678626754
conservative_drtp_sg,3001,3907,968,31,0.0,0.01133253473602671,0.01133253473602671,0.08161157024793389,0.09297520661157024,0.07747933884297521,0.07231404958677685,0.09400826446280992,0.07954545454545454,0.0956607170131121
conservative_drtp_sg,3002,976,961,26,0.5384615384615384,0.021253009043949334,0.045625607861884965,0.08532778355879292,0.07908428720083246,0.06867845993756504,0.06451612903225806,0.08949011446409989,0.09573361082206035,0.13256618207075116
conservative_drtp_sg,3002,1953,961,31,0.03225806451612903,0.011594025890318738,0.011613533625388105,0.08324661810613944,0.062434963579604576,0.06971904266389178,0.060353798126951096,0.09573361082206035,0.12174817898022892,0.12851163236485885
conservative_drtp_sg,3002,2930,966,30,0.0,0.0084071233106492,0.0084071233106492,0.07453416149068323,0.09006211180124224,0.07556935817805382,0.06521739130434782,0.10041407867494824,0.10351966873706005,0.14475388771563139
conservative_drtp_sg,3002,3907,963,31,0.0,0.01227247247584519,0.01227247247584519,0.07268951194184839,0.07372793354101766,0.07476635514018691,0.08099688473520249,0.08411214953271028,0.10695742471443406,0.11863746474336222
conservative_drtp_sg,3003,976,961,26,0.8076923076923077,0.021851838069781995,0.05582959008777166,0.09157127991675339,0.07596253902185224,0.09053069719042664,0.07908428720083246,0.08428720083246619,0.10509885535900104,0.1103448340939863
conservative_drtp_sg,3003,1953,963,31,0.12903225806451613,0.017721521986824577,0.01786469365254527,0.0778816199376947,0.07892004153686397,0.0778816199376947,0.07476635514018691,0.07061266874350987,0.08099688473520249,0.08905128948720474
conservative_drtp_sg,3003,2930,965,30,0.03333333333333333,0.014920350190640058,0.015231226889190807,0.09948186528497409,0.08082901554404145,0.06632124352331606,0.08393782383419689,0.07253886010362694,0.08808290155440414,0.07926526292025772
conservative_drtp_sg,3003,3907,966,31,0.06451612903225806,0.016535585211406512,0.016554152111987092,0.07971014492753623,0.06625258799171843,0.09006211180124224,0.06935817805383022,0.07971014492753623,0.07763975155279502,0.11297007162972925
conservative_drtp_sg,3004,976,966,26,0.6153846153846154,0.023359239259678814,0.04457877234192846,0.09523809523809523,0.08178053830227744,0.07556935817805382,0.07142857142857142,0.08592132505175984,0.08695652173913043,0.10654131551068313
conservative_drtp_sg,3004,1953,965,31,0.5161290322580645,0.021700547790571026,0.024551913135811874,0.08082901554404145,0.10984455958549223,0.07979274611398963,0.09533678756476684,0.08082901554404145,0.07357512953367876,0.1054884472388618
conservative_drtp_sg,3004,2930,975,30,0.16666666666666666,0.016556892196840603,0.01715786238330523,0.07897435897435898,0.09846153846153846,0.08102564102564103,0.09333333333333334,0.09333333333333334,0.08205128205128205,0.08305139661398168
conservative_drtp_sg,3004,3907,979,31,0.0967741935483871,0.016332744969221262,0.016424921730643686,0.06537282941777324,0.07763023493360573,0.08375893769152196,0.08273748723186926,0.08784473953013279,0.0755873340143003,0.08416362794236287
conservative_drtp_sg,3005,976,960,26,0.34615384615384615,0.018082925567395366,0.038438895916038066,0.075,0.078125,0.07604166666666666,0.07604166666666666,0.096875,0.08854166666666667,0.08417068939618401
conservative_drtp_sg,3005,1953,962,31,0.0967741935483871,0.017296663079700954,0.0175306796899756,0.07692307692307693,0.07484407484407485,0.08316008316008316,0.06964656964656965,0.09875259875259876,0.10395010395010396,0.15246998234456846
conservative_drtp_sg,3005,2930,976,30,0.36666666666666664,0.018885456421438806,0.020078228879422125,0.09733606557377049,0.08504098360655737,0.0706967213114754,0.07581967213114754,0.08401639344262295,0.08913934426229508,0.08811873030507346
conservative_drtp_sg,3005,3907,979,31,0.03225806451612903,0.015901346412817503,0.016144419029280994,0.08682328907048008,0.08682328907048008,0.07150153217568948,0.0898876404494382,0.09090909090909091,0.06843718079673136,0.10292394691212937
