arm,seed,milestone_update,window_updates,conservative_group,train_avg_reward,loss,policy_loss,value_loss,explained_variance,approx_kl,clip_fraction,entropy,grad_norm,advantage_mean,advantage_std,actor_gradient_norm,critic_gradient_norm,actor_update_norm,critic_update_norm
utr_sg,3004,976,128,control,0.04829709577643371,0.14713896779539937,-0.00184414815451961,0.35157104035897646,0.8829647012753412,0.000575763151823357,0.0022608439917348733,2.6802404834888875,1.3234297801973298,0.026916018158772204,0.7455534928012639,,,,
utr_sg,3004,1953,128,control,0.07887426146044163,0.152588419336098,-0.0022895501427369217,0.36003786055516684,0.9241919690975919,0.0010723984593126918,0.006365458346181185,2.5140960565768182,1.880729251075536,0.04066710460227796,0.7004980216734111,,,,
utr_sg,3004,2930,128,control,0.10086018296715338,0.3273294343634916,-0.0022393551617316283,0.7061501128628151,0.9183110487647355,0.0009689256143428083,0.005892435857504097,2.3506267433986068,2.457420641963836,0.09496205359209853,1.0293316175229847,,,,
utr_sg,3004,3907,128,control,0.1347450626490172,0.3725329712833627,-0.0014234172001823598,0.7955212593806209,0.9340681281173602,0.0005831288083865497,0.0025405884457541106,2.3804241493344307,3.4021536235231906,0.012068221039953642,1.1526793781667948,,,,
utr_sg,3005,976,128,control,0.011962445439166913,0.060491932235891,-0.002072077751946866,0.17585456364395213,0.8578728693537414,0.0008851213716726628,0.005691528460602058,2.536327264737338,0.7620508940017316,0.008771771807914774,0.5392143884673715,,,,
utr_sg,3005,1953,128,control,0.05137991107540074,0.23250959634242463,-0.002015793904643759,0.5172674416389782,0.7634554015239701,0.00075098098400872,0.003229777122669475,2.4108331149909645,1.6574367009452544,0.06874537439944106,0.8899052657652646,,,,
utr_sg,3005,2930,128,control,0.11451602738088695,0.4793269355286611,-0.0015349311153549582,1.0107248998247087,0.8905734402360395,0.000588546435138208,0.0029754639472230338,2.4500584080815315,2.747545273974538,0.049662863257253775,1.2994505409151316,,,,
utr_sg,3005,3907,128,control,0.138719393289648,0.45203048616531305,-0.002312907683014247,0.9528361169213895,0.881962101557292,0.0007984168132348182,0.0038909913346287794,2.2074666630942374,2.6926009856979363,0.03283341826136166,1.289456881582737,,,,
drtp_sg,3001,976,128,control,0.06308748997685143,0.08509495821635937,-0.001961067149715946,0.2219783106338582,0.9304248093394563,0.0011007830459751253,0.00701904318157176,2.3933130803052336,1.1499749143258668,0.0056136261473511695,0.6291281119920313,,,,
drtp_sg,3001,1953,128,control,0.1125612442046986,0.38813028619551915,-0.0012835024137724377,0.8272908430953976,0.8983078518649563,0.000608369583320704,0.002906799416678041,2.4231634316965938,2.85120007453952,0.03313122176041361,1.1719730801414698,,,,
