source_commit,historical_path,sha256,bytes,data_rows,has_strict_pre_endpoint_field,has_after_loss_field,has_survival_like_fields
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_diag20/validation_selected_checkpoints.csv,c79bad837536de5550d44516b681dd5eaf3e8d3382339741ba7510317fa6e90a,4321,15,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_smoke/validation_checkpoint_summary.csv,0549fcc559202276612877b0954e92691c07d21d34f87a57d254c72b3277c105,863,1,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_smoke/validation_episode_metrics.csv,9d4ea6b38352620aae9c2733fb78f2a83873560dae9bee345e0db1aec0a83cc2,1789,1,False,True,True
e02a753,results/gate1_safety_fx60_dropout030_delay2_scout_failure_smoke/validation_selected_checkpoints.csv,ab11fd8e00f3b2b89de374d68f63198e3ff173be1623f07641cf853c6982d867,737,1,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_recovered_only_steps.csv,de0a2d5be8399bc0c5408c1354840a9857612a1a175dec17c3017a45eae2bab7,380,2,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,ed92c9003a789f2daab376e1295ca81fbf60ec77d5f7eaeb3870b51dc33ec97c,1089,8,False,False,True
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_no_graph/intercept_3d_strict_sensing_seed_level_deltas.csv,acb8eb3bb73f3f165de3b1573f9f30d72b35d3603f3a3843e046a2693d9d6196,3129,40,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_recovered_only_steps.csv,6a5d50f99478f3deb6a65faddd3fe0525fec5d09333950e0733a8b0360d526fa,385,2,False,False,False
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_seed_aware_bootstrap.csv,e23a1c530b3bda6137ec54a3e040f039c420383bb70c320f8d1e0f5fbd77c8ce,1097,8,False,False,True
e02a753,results/gate1_safety_fx60_dropout030_scout_failure_diag20/seed_aware_multi_vs_single/intercept_3d_strict_sensing_seed_level_deltas.csv,10c97b87a7391026286adae511838b1c13b54e258f9ab3ded8e893df9fdcca71,3185,40,False,False,False
