graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
single,99,46,100,0,0,0,0.54
single,100,46,100,0,0,0,0.54
single,101,46,100,0,0,0,0.54
single,102,46,100,0,0,0,0.54
single,103,46,100,0,0,0,0.54
single,104,46,100,0,0,0,0.54
single,105,46,100,0,0,0,0.54
single,106,46,100,0,0,0,0.54
single,107,46,100,0,0,0,0.54
single,108,46,100,0,0,0,0.54
single,109,46,100,0,0,0,0.54
single,110,46,100,0,0,0,0.54
single,111,46,100,0,0,0,0.54
single,112,46,100,0,0,0,0.54
single,113,46,100,0,0,0,0.54
single,114,46,100,0,0,0,0.54
single,115,46,100,0,0,0,0.54
single,116,46,100,0,0,0,0.54
single,117,46,100,0,0,0,0.54
single,118,46,100,0,0,0,0.54
single,119,46,100,0,0,0,0.54
single,120,46,100,0,0,0,0.54
single,121,46,100,0,0,0,0.54
single,122,46,100,0,0,0,0.54
single,123,46,100,0,0,0,0.54
single,124,46,100,0,0,0,0.54
single,125,46,100,0,0,0,0.54
single,126,46,100,0,0,0,0.54
single,127,46,100,0,0,0,0.54
single,128,46,100,0,0,0,0.54
single,129,46,100,0,0,0,0.54
single,130,46,100,0,0,0,0.54
single,131,46,100,0,0,0,0.54
single,132,46,100,0,0,0,0.54
single,133,46,100,0,0,0,0.54
single,134,46,100,0.00724638,0,0,0.54
single,135,46,100,0.00724638,0,0,0.54
single,136,46,100,0.00724638,0,0,0.54
single,137,46,100,0.00724638,0,0.0217391,0.55
single,138,45,100,0,0,0,0.55
