graph_encoder,relative_step,n_available,n_episode,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
no_graph,88,95,100,0,0.0245614,0,0
no_graph,89,95,100,0,0.0192982,0,0
no_graph,90,95,100,0,0.0192982,0,0
no_graph,91,95,100,0,0.0175439,0,0
no_graph,92,95,100,0,0.0210526,0,0
no_graph,93,95,100,0,0.0298246,0,0
no_graph,94,95,100,0,0.0192982,0,0
no_graph,95,95,100,0,0.0175439,0,0
no_graph,96,95,100,0,0.0210526,0,0
no_graph,97,95,100,0,0.0263158,0,0
no_graph,98,95,100,0,0.0245614,0,0
no_graph,99,95,100,0,0.022807,0,0
no_graph,100,95,100,0,0.022807,0,0
no_graph,101,95,100,0,0.022807,0,0
no_graph,102,95,100,0,0.0210526,0,0
no_graph,103,95,100,0,0.0245614,0,0
no_graph,104,95,100,0,0.0263158,0,0
no_graph,105,95,100,0,0.0280702,0,0
no_graph,106,95,100,0,0.0298246,0,0
no_graph,107,95,100,0,0.0333333,0,0
no_graph,108,95,100,0,0.0350877,0,0
no_graph,109,95,100,0,0.0280702,0,0
no_graph,110,95,100,0,0.0315789,0,0
no_graph,111,95,100,0,0.0280702,0,0
no_graph,112,95,100,0,0.0333333,0,0
no_graph,113,95,100,0,0.0333333,0,0
no_graph,114,95,100,0,0.0263158,0,0
no_graph,115,95,100,0,0.0333333,0,0
no_graph,116,95,100,0,0.0385965,0,0
no_graph,117,95,100,0,0.0333333,0,0
no_graph,118,95,100,0,0.0263158,0,0
no_graph,119,95,100,0,0.0350877,0,0
no_graph,120,95,100,0,0.0333333,0,0
no_graph,121,95,100,0,0.0368421,0,0
no_graph,122,95,100,0,0.0333333,0,0
no_graph,123,95,100,0,0.0333333,0,0
