method,seed,update,mean,sd,min,max,mean_abs_drift,saturation_fraction,relation0_mean,relation1_mean,relation2_mean,checkpoint
full,2,700,0.5242580939226525,0.04109828462364519,0.4506161423984203,0.6279546703050566,0.019501207289723026,0.0,0.5226762178603458,0.5251197311592104,0.5249783327484016,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0700.pt
full,2,800,0.5242535255656757,0.04108845552555772,0.45061678058682775,0.6275670612242246,0.019495393322342996,0.0,0.5226734121013888,0.5251243171804443,0.5249628474151937,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0800.pt
full,2,900,0.5242540580468857,0.041084317215992296,0.4505875532000651,0.6274066712899612,0.01949685167574925,0.0,0.5226753390737086,0.5251254745512237,0.5249613605157246,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0900.pt
full,2,977,0.5242544610542467,0.04108287996622308,0.45063966694206753,0.6274877893035004,0.019497302346442463,0.0,0.5226833103538714,0.5251248676002891,0.5249552052085796,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed2_1m\actor_critic_update_0977.pt
w_o_gate_prior,0,100,0.502356053525506,0.013900654722515747,0.419495712041229,0.5455365157837228,0.02732808263536486,0.0,0.5030275909509837,0.5028212399960953,0.501219329629439,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0100.pt
w_o_gate_prior,0,200,0.5023550500927937,0.013894070945472108,0.4194877434002142,0.54555669447603,0.02732241600755941,0.0,0.5030198544824744,0.5028266480980511,0.5012186476978556,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0200.pt
w_o_gate_prior,0,300,0.5023530125917924,0.013891595479126639,0.41948724264002263,0.5455437604760767,0.027317077822740916,0.0,0.5030113211438699,0.5028257281663241,0.5012219884651836,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0300.pt
w_o_gate_prior,0,400,0.5023584759151694,0.01388831040980232,0.4194850726811082,0.5455412852391441,0.02730958870490614,0.0,0.5030163069686275,0.5028269899550114,0.5012321308218691,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0400.pt
w_o_gate_prior,0,500,0.50235984250653,0.01389525897458082,0.4194684098227721,0.545610358281647,0.0273154368157437,0.0,0.5030157883820017,0.5028280249825121,0.5012357141550762,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0500.pt
w_o_gate_prior,0,600,0.5023631810279401,0.013898029836961553,0.4194859725968018,0.5456119542150379,0.02731423942880646,0.0,0.5030245185274896,0.5028275198015174,0.5012375047548135,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0600.pt
w_o_gate_prior,0,700,0.5023607815995335,0.013898698696413128,0.4194847606136943,0.5457195815029041,0.027320421750423922,0.0,0.5030263713381563,0.5028157457047889,0.5012402277556552,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt
w_o_gate_prior,0,800,0.5023597800511677,0.01390646683278999,0.41945734247698013,0.5456716015531562,0.02732673473115937,0.0,0.5030218894706882,0.5028250521638469,0.5012323985189678,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0800.pt
w_o_gate_prior,0,900,0.5023576112134528,0.013906408448824664,0.41943244305949345,0.5456722000147923,0.027330641046449167,0.0,0.5030154445347285,0.5028209152690616,0.5012364738365686,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0900.pt
w_o_gate_prior,0,977,0.5023569549725154,0.013909231838962767,0.4194221597415399,0.5457476383714858,0.027332739939031576,0.0,0.5030220728729098,0.5028147454750838,0.5012340465695526,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed0_1m\actor_critic_update_0977.pt
w_o_gate_prior,1,100,0.501384466186893,0.01644936201434015,0.43812378411029584,0.5486073357614116,0.028443534030579608,0.0,0.49984217834900574,0.502903582003795,0.5014076382078781,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0100.pt
w_o_gate_prior,1,200,0.5013843256169531,0.016448300198696277,0.43814658601289697,0.548514543227059,0.028437049632370422,0.0,0.4998489566848997,0.5028958477311022,0.5014081724348576,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0200.pt
w_o_gate_prior,1,300,0.501383241107488,0.016441680568373293,0.43818107915584187,0.5484575545542323,0.02842977025348732,0.0,0.4998541523584599,0.5028972782563796,0.5013982927076246,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0300.pt
w_o_gate_prior,1,400,0.5013851188569179,0.016455605315048548,0.4381249652835169,0.548411454906363,0.028437139520729234,0.0,0.4998573939500139,0.5029034982798684,0.5013944643408715,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0400.pt
w_o_gate_prior,1,500,0.5013783513952734,0.016469272490994225,0.4380772603827009,0.5481765744285646,0.028442099459435634,0.0,0.49985666934669143,0.5029059408311204,0.5013724440080084,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0500.pt
w_o_gate_prior,1,600,0.5013792218217689,0.016463985807098187,0.43807136200158425,0.5480876047559392,0.02843653192823493,0.0,0.4998614551401316,0.5029044344513344,0.5013717758738409,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0600.pt
w_o_gate_prior,1,700,0.5013727734536166,0.01645741447295406,0.4380567335050573,0.5480238965069905,0.028433761640804692,0.0,0.4998560810614586,0.5028886421969949,0.5013735971023968,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0700.pt
w_o_gate_prior,1,800,0.5013654485898812,0.01645409787656238,0.43801827002336186,0.5479547793415842,0.028435129320166553,0.0,0.49985310479570333,0.5028833862199782,0.5013598547539622,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0800.pt
w_o_gate_prior,1,900,0.5013593902506063,0.016441936713382076,0.43808530832646264,0.5477841820278042,0.028429995844755536,0.0,0.49985013845392123,0.5028755137058171,0.5013525185920805,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0900.pt
w_o_gate_prior,1,977,0.5013588147514288,0.01643862624135481,0.4381373713129433,0.5478248410044608,0.02842762974058032,0.0,0.4998519822313958,0.5028712171623748,0.5013532448605161,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed1_1m\actor_critic_update_0977.pt
w_o_gate_prior,2,100,0.500875211839764,0.018483085579333692,0.42335227276125137,0.5548986847212716,0.029656095538411077,0.0,0.5007393386283308,0.5020175705836487,0.49986872630731227,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0100.pt
w_o_gate_prior,2,200,0.500880226649512,0.018489914024718324,0.4232565155670131,0.5548868007422114,0.029653961806683508,0.0,0.5007453920945507,0.5020261675905139,0.49986912026347147,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0200.pt
w_o_gate_prior,2,300,0.500881769885979,0.018501746448314847,0.4231433997155247,0.5549542614558974,0.029651923929178387,0.0,0.500746114961248,0.5020355308894436,0.49986366380724545,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0300.pt
w_o_gate_prior,2,400,0.5008821217440854,0.018510962322361386,0.42320079687437673,0.5550831414857411,0.029655492127932136,0.0,0.5007360675591507,0.5020316496283617,0.49987864804474386,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0400.pt
w_o_gate_prior,2,500,0.5008845172715802,0.018509347940103674,0.4233671512194666,0.5551271363852505,0.029654467045969735,0.0,0.500737758999657,0.5020398942866404,0.4998758985284432,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0500.pt
w_o_gate_prior,2,600,0.5008804876443324,0.01851345280271301,0.4235627303670189,0.5551281631065922,0.029659981851554475,0.0,0.5007336226867655,0.5020334422276772,0.49987439801855416,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0600.pt
w_o_gate_prior,2,700,0.5008824587557158,0.018514292281215018,0.423555715878961,0.5549716912380679,0.02966176732749473,0.0,0.5007278260003709,0.5020335653751808,0.49988598489159586,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0700.pt
w_o_gate_prior,2,800,0.500880079547785,0.01851596094607536,0.42351901401856107,0.5549971989799681,0.029664386563405937,0.0,0.500729704591257,0.502024065314866,0.49988646873723225,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0800.pt
w_o_gate_prior,2,900,0.5008734880541164,0.018517673508917146,0.4234166549237693,0.5550560265077941,0.029664165518295496,0.0,0.5007307228865017,0.5020192487170828,0.4998704925587645,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0900.pt
w_o_gate_prior,2,977,0.5008767589490193,0.01852450650210562,0.42341567996824564,0.5550249255777663,0.02966935835447406,0.0,0.5007322386782193,0.5020164615569993,0.4998815766118391,D:\Code\Codex\ri_gmappo_uav_ablation_v1.5\results\paper_config_runs\formal_ablation_v1.5_ppo_977_20260804\w_o_gate_prior\ppo_seed2_1m\actor_critic_update_0977.pt
