method,seed,scenario,episode,window,mean_strength,nonzero_fraction,mean_comm_fraction,pair_support_strong,pair_rates
full,0,dropout030_delay2_relay_failure,31,pre_failure,0.17777778208255768,0.17777777777777778,0.7388888888888889,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.450,0.500,0.000"
full,0,dropout030_delay2_relay_failure,31,early_post_failure,0.09259258955717087,0.09259259259259259,0.48148148148148145,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.500,0.167,0.000"
full,0,dropout030_delay2_relay_failure,31,pre_recovery,0.09259258955717087,0.09259259259259259,0.48148148148148145,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.500,0.167,0.000"
full,0,dropout030_delay2_relay_failure,28,pre_failure,0.21666666865348816,0.21666666666666667,0.7833333333333333,0,"0.000,0.750,0.000,0.000,0.000,0.000,0.600,0.600,0.000"
full,0,dropout030_delay2_relay_failure,28,early_post_failure,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.875,0.125,0.000"
full,0,dropout030_delay2_relay_failure,28,pre_recovery,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.875,0.125,0.000"
full,0,dropout030_delay2_relay_failure,29,pre_failure,0.18888889253139496,0.18888888888888888,0.7555555555555555,0,"0.000,0.600,0.000,0.000,0.000,0.000,0.400,0.700,0.000"
full,0,dropout030_delay2_relay_failure,29,early_post_failure,0.1111111119389534,0.1111111111111111,0.5694444444444444,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.750,0.125,0.000"
full,0,dropout030_delay2_relay_failure,29,pre_recovery,0.1111111119389534,0.1111111111111111,0.5694444444444444,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.750,0.125,0.000"
full,0,dropout030_delay2_relay_failure,33,pre_failure,0.21111111342906952,0.2111111111111111,0.7944444444444444,0,"0.000,0.550,0.000,0.000,0.000,0.000,0.600,0.750,0.000"
full,0,dropout030_delay2_relay_failure,33,early_post_failure,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,33,pre_recovery,0.13333334028720856,0.13333333333333333,0.5777777777777777,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,35,pre_failure,0.22777777910232544,0.22777777777777777,0.7777777777777778,0,"0.000,0.800,0.000,0.000,0.000,0.000,0.500,0.750,0.000"
full,0,dropout030_delay2_relay_failure,35,early_post_failure,0.04444444552063942,0.044444444444444446,0.5111111111111111,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000"
full,0,dropout030_delay2_relay_failure,35,pre_recovery,0.04444444552063942,0.044444444444444446,0.5111111111111111,0,"0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.000,0.000"
full,0,dropout030_delay2_relay_failure,34,pre_failure,0.1944444477558136,0.19444444444444445,0.75,0,"0.000,0.800,0.000,0.000,0.000,0.000,0.550,0.400,0.000"
full,0,dropout030_delay2_relay_failure,34,early_post_failure,0.1111111119389534,0.1111111111111111,0.5714285714285714,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,34,pre_recovery,0.1111111119389534,0.1111111111111111,0.5714285714285714,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,32,pre_failure,0.18888889253139496,0.18888888888888888,0.7388888888888889,0,"0.000,0.500,0.000,0.000,0.000,0.000,0.600,0.600,0.000"
full,0,dropout030_delay2_relay_failure,32,early_post_failure,0.07407407462596893,0.07407407407407407,0.48148148148148145,0,"0.000,0.048,0.000,0.000,0.000,0.000,0.619,0.000,0.000"
full,0,dropout030_delay2_relay_failure,39,pre_failure,0.2777777910232544,0.2777777777777778,0.85,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.750,0.900,0.000"
full,0,dropout030_delay2_relay_failure,39,early_post_failure,0.13333334028720856,0.13333333333333333,0.6,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,39,pre_recovery,0.13333334028720856,0.13333333333333333,0.6,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.200,0.000"
full,0,dropout030_delay2_relay_failure,37,pre_failure,0.20000000298023224,0.2,0.7611111111111111,0,"0.000,0.600,0.000,0.000,0.000,0.000,0.650,0.550,0.000"
full,0,dropout030_delay2_relay_failure,37,early_post_failure,0.1269841343164444,0.12698412698412698,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.143,0.000"
full,0,dropout030_delay2_relay_failure,37,pre_recovery,0.1269841343164444,0.12698412698412698,0.5555555555555556,0,"0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.143,0.000"
full,0,dropout030_delay2_relay_failure,38,pre_failure,0.20555555820465088,0.20555555555555555,0.8,0,"0.000,0.500,0.000,0.000,0.000,0.000,0.800,0.550,0.000"
full,0,dropout030_delay2_relay_failure,38,early_post_failure,0.1111111119389534,0.1111111111111111,0.5873015873015873,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,38,pre_recovery,0.1111111119389534,0.1111111111111111,0.5873015873015873,0,"0.000,0.143,0.000,0.000,0.000,0.000,0.714,0.143,0.000"
full,0,dropout030_delay2_relay_failure,36,pre_failure,0.2611111104488373,0.2611111111111111,0.8388888888888889,0,"0.000,0.800,0.000,0.000,0.000,0.000,0.800,0.750,0.000"
full,0,dropout030_delay2_relay_failure,36,early_post_failure,0.10000000149011612,0.1,0.5444444444444444,0,"0.000,0.100,0.000,0.000,0.000,0.000,0.700,0.100,0.000"
full,0,dropout030_delay2_relay_failure,36,pre_recovery,0.10000000149011612,0.1,0.5444444444444444,0,"0.000,0.100,0.000,0.000,0.000,0.000,0.700,0.100,0.000"
full,0,dropout030_delay2_relay_failure,41,pre_failure,0.20000000298023224,0.2,0.7444444444444445,0,"0.000,0.600,0.000,0.000,0.000,0.000,0.600,0.600,0.000"
full,0,dropout030_delay2_relay_failure,41,early_post_failure,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.000,0.000"
full,0,dropout030_delay2_relay_failure,41,pre_recovery,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.200,0.000,0.000,0.000,0.000,0.800,0.000,0.000"
full,0,dropout030_delay2_relay_failure,40,pre_failure,0.21111111342906952,0.2111111111111111,0.7555555555555555,0,"0.000,0.650,0.000,0.000,0.000,0.000,0.600,0.650,0.000"
full,0,dropout030_delay2_relay_failure,40,early_post_failure,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
full,0,dropout030_delay2_relay_failure,40,pre_recovery,0.1111111119389534,0.1111111111111111,0.5555555555555556,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.833,0.000,0.000"
full,0,dropout030_delay2_relay_failure,43,pre_failure,0.2222222238779068,0.2222222222222222,0.7666666666666667,0,"0.000,0.700,0.000,0.000,0.000,0.000,0.500,0.800,0.000"
full,0,dropout030_delay2_relay_failure,43,early_post_failure,0.1111111119389534,0.1111111111111111,0.5370370370370371,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,43,pre_recovery,0.1111111119389534,0.1111111111111111,0.5370370370370371,0,"0.000,0.167,0.000,0.000,0.000,0.000,0.667,0.167,0.000"
full,0,dropout030_delay2_relay_failure,42,pre_failure,0.23333333432674408,0.23333333333333334,0.7833333333333333,0,"0.000,0.850,0.000,0.000,0.000,0.000,0.450,0.800,0.000"
full,0,dropout030_delay2_relay_failure,42,early_post_failure,0.125,0.125,0.5694444444444444,0,"0.000,0.125,0.000,0.000,0.000,0.000,0.875,0.125,0.000"
