method,seed,scenario,episode,success,recovered,steps,failure_step,recovery_step,first_support_after_failure,support_persistence,unique_active_pairs,pre_recovery_boost,action_hash
full,0,dropout030_delay2_relay_failure,71,0,0,260,39,-1,40,7,3,,8bd69c22c7553aeb
full,0,dropout030_delay2_relay_failure,74,1,1,46,39,46,40,5,3,0.0000,f2db7489eb8c4e3f
full,0,dropout030_delay2_relay_failure,73,1,1,47,39,47,41,3,3,0.0000,0d3779b3526cc364
full,0,dropout030_delay2_relay_failure,72,1,1,48,39,48,40,3,3,0.0000,4d637c6a5175f2a7
full,0,dropout030_delay2_relay_failure,75,0,0,260,39,-1,40,13,3,,d3f3c6e67e5447e1
full,0,dropout030_delay2_relay_failure,79,1,1,46,39,46,41,1,3,0.0000,c4729776d1bc4437
full,0,dropout030_delay2_relay_failure,76,1,1,47,39,47,40,3,3,0.0000,34d995cfa9c1b206
full,0,dropout030_delay2_relay_failure,77,1,1,47,39,47,40,2,3,0.0000,ba38e9f401403437
full,0,dropout030_delay2_relay_failure,78,1,1,47,39,47,40,2,3,0.0000,52dc370f416f034b
full,0,dropout030_delay2_relay_failure,80,1,1,44,39,44,40,4,3,0.0000,7f5470ff3a5d1ad3
full,0,dropout030_delay2_relay_failure,83,1,1,44,39,44,40,2,3,0.0000,0c2f15d57eff472f
full,0,dropout030_delay2_relay_failure,81,1,1,46,39,46,40,6,3,0.0000,3a762b3af126f56c
full,0,dropout030_delay2_relay_failure,82,1,1,46,39,46,41,1,3,0.0000,5b6562cc3f68a370
full,0,dropout030_delay2_relay_failure,87,1,1,44,39,44,40,4,3,0.0000,898373c91c6c7895
full,0,dropout030_delay2_relay_failure,84,1,1,45,39,45,40,3,3,0.0000,ab820c3e44a66d06
full,0,dropout030_delay2_relay_failure,86,1,1,45,39,45,40,2,3,0.0000,9c48bd79c2b0ac3a
full,0,dropout030_delay2_relay_failure,85,1,1,48,39,48,41,5,3,0.0000,f94a0d6dbb22d835
full,0,dropout030_delay2_relay_failure,88,1,1,45,39,45,40,5,3,0.0000,be6ecc7f2d09b94a
full,0,dropout030_delay2_relay_failure,91,1,1,45,39,45,40,3,3,0.0000,162727185ad4c817
full,0,dropout030_delay2_relay_failure,89,1,1,46,39,46,40,3,3,0.0000,97e49bd7b5ba3ede
full,0,dropout030_delay2_relay_failure,90,0,0,260,39,-1,40,8,3,,d8938e6d62f6dfe7
full,0,dropout030_delay2_relay_failure,93,1,1,44,39,44,40,4,3,0.0000,6aef19b7c2b01ccc
full,0,dropout030_delay2_relay_failure,95,1,1,45,39,45,40,4,3,0.0000,fc5a113eaa027229
full,0,dropout030_delay2_relay_failure,94,1,1,48,39,48,41,2,3,0.0000,e86f05458215e483
full,0,dropout030_delay2_relay_failure,92,0,0,260,39,-1,41,7,3,,f048081e718a189c
full,0,dropout030_delay2_relay_failure,96,1,1,44,39,44,40,2,3,0.0000,1d51a6266d4bddb2
full,0,dropout030_delay2_relay_failure,98,1,1,44,39,44,40,4,3,0.0000,1935047574a19967
full,0,dropout030_delay2_relay_failure,97,1,1,46,39,46,40,5,3,0.0000,f3cae8c0e7783165
full,0,dropout030_delay2_relay_failure,99,1,1,48,39,48,40,2,3,0.0000,2b85c3d766ce97b3
full,0,dropout030_delay2_relay_failure_early,0,1,1,44,24,44,25,11,3,-0.0444,e233c20b20e8caf3
full,0,dropout030_delay2_relay_failure_early,1,1,1,44,24,44,25,5,3,-0.0222,25987ac1a814f586
full,0,dropout030_delay2_relay_failure_early,3,1,1,44,24,44,25,7,3,-0.0222,921dfa2d02cf1287
full,0,dropout030_delay2_relay_failure_early,2,1,1,45,24,45,25,5,3,0.0222,e2ed5e5901d44515
full,0,dropout030_delay2_relay_failure_early,5,1,1,45,24,45,25,9,3,-0.0444,2a69d81ce5adbfe4
full,0,dropout030_delay2_relay_failure_early,6,1,1,45,24,45,25,6,3,-0.0333,d8a185994ff6dec3
full,0,dropout030_delay2_relay_failure_early,4,1,1,47,24,47,25,6,3,-0.0222,684cf9c6edc4d897
full,0,dropout030_delay2_relay_failure_early,7,1,1,47,24,47,26,5,3,-0.0333,f6296c0c6de1e788
full,0,dropout030_delay2_relay_failure_early,9,1,1,44,24,44,25,5,3,-0.0333,5140a941d2ef1974
full,0,dropout030_delay2_relay_failure_early,8,1,1,46,24,46,25,11,3,0.0111,d587b313167a1faf
full,0,dropout030_delay2_relay_failure_early,11,1,1,46,24,46,25,9,3,-0.0222,cd5366b893ec42b6
full,0,dropout030_delay2_relay_failure_early,10,0,0,260,24,-1,25,8,3,,90ec60864bb69b3f
full,0,dropout030_delay2_relay_failure_early,15,1,1,44,24,44,26,7,3,-0.0222,0c311f39e1922472
full,0,dropout030_delay2_relay_failure_early,12,1,1,46,24,46,25,5,3,0.0111,bdd2eec9b72adeaf
full,0,dropout030_delay2_relay_failure_early,13,1,1,47,24,47,27,4,3,-0.0111,7e3bf26a7867b8d8
full,0,dropout030_delay2_relay_failure_early,14,1,1,48,24,48,25,12,3,-0.0111,fea14c3c4b7a99ed
full,0,dropout030_delay2_relay_failure_early,19,1,1,45,24,45,25,5,3,-0.0111,7f5e5268273d17e5
full,0,dropout030_delay2_relay_failure_early,17,1,1,46,24,46,25,5,3,0.0222,8398ac694710dd90
full,0,dropout030_delay2_relay_failure_early,16,1,1,47,24,47,25,5,3,-0.0111,d109f85f3da55cae
full,0,dropout030_delay2_relay_failure_early,18,1,1,48,24,48,26,5,3,0.0222,e5ac8797d88b62f6
full,0,dropout030_delay2_relay_failure_early,20,1,1,44,24,44,26,4,3,-0.0111,50c58b1949ddb4f0
