cohort,seed,bin_id,update_start,update_end,environment_steps_million_end,utr_mean_train_reward,drtp_mean_train_reward,drtp_minus_utr_train_reward
formal_2301_2305,2301,8,4001,4500,1.152,0.18637733285874128,0.17994808153063058,-0.006429251328110702
formal_2301_2305,2302,8,4001,4500,1.152,0.13875539077818394,0.15394600246846676,0.015190611690282824
formal_2301_2305,2303,8,4001,4500,1.152,0.1304332979619503,0.11403747276589274,-0.016395825196057562
formal_2301_2305,2304,8,4001,4500,1.152,0.13748071770370007,0.1629414130821824,0.025460695378482334
formal_2301_2305,2305,8,4001,4500,1.152,0.10736165034770966,0.1917181568816304,0.08435650653392075
formal_2301_2305,2301,9,4501,5000,1.28,0.19298917426913978,0.1810747837945819,-0.01191439047455789
formal_2301_2305,2302,9,4501,5000,1.28,0.14381924095749854,0.1428032575175166,-0.0010159834399819379
formal_2301_2305,2303,9,4501,5000,1.28,0.13108418686687948,0.13473113577440382,0.0036469489075243444
formal_2301_2305,2304,9,4501,5000,1.28,0.13262319973483683,0.17713315880298613,0.04450995906814931
formal_2301_2305,2305,9,4501,5000,1.28,0.11801601789891719,0.19713758300244807,0.07912156510353088
formal_2301_2305,2301,10,5001,5500,1.408,0.22250974979996682,0.21032558601349594,-0.012184163786470886
formal_2301_2305,2302,10,5001,5500,1.408,0.13610124126821757,0.15048655541613698,0.014385314147919409
formal_2301_2305,2303,10,5001,5500,1.408,0.0952871113717556,0.13524083569832146,0.039953724326565854
formal_2301_2305,2304,10,5001,5500,1.408,0.13116710336878895,0.20473874127864838,0.07357163790985943
formal_2301_2305,2305,10,5001,5500,1.408,0.13708991205692292,0.19016917311772705,0.05307926106080413
formal_2301_2305,2301,11,5501,6000,1.536,0.20097726256400347,0.21015287389606238,0.009175611332058908
formal_2301_2305,2302,11,5501,6000,1.536,0.16344209457933903,0.1657312749400735,0.002289180360734472
formal_2301_2305,2303,11,5501,6000,1.536,0.1238846428990364,0.13815539968013762,0.014270756781101221
formal_2301_2305,2304,11,5501,6000,1.536,0.14785939339548348,0.20925826267153025,0.061398869276046764
formal_2301_2305,2305,11,5501,6000,1.536,0.09766497063729912,0.20047379969060422,0.1028088290533051
formal_2301_2305,2301,12,6001,6500,1.664,0.22778124418854714,0.2092076148763299,-0.018573629312217232
formal_2301_2305,2302,12,6001,6500,1.664,0.1504027531221509,0.17437735428661108,0.02397460116446018
formal_2301_2305,2303,12,6001,6500,1.664,0.1476522601172328,0.16980145205557345,0.022149191938340668
formal_2301_2305,2304,12,6001,6500,1.664,0.13887027368694543,0.21828242418169974,0.07941215049475431
formal_2301_2305,2305,12,6001,6500,1.664,0.1200191319026053,0.2369280004799366,0.11690886857733129
formal_2301_2305,2301,13,6501,7000,1.792,0.23574517440795897,0.20553090244531633,-0.030214271962642647
formal_2301_2305,2302,13,6501,7000,1.792,0.12152537272125483,0.1736157840117812,0.052090411290526384
formal_2301_2305,2303,13,6501,7000,1.792,0.15724607970938087,0.15785080805420876,0.0006047283448278873
