cohort,method,seed,bin_id,update_start,update_end,environment_steps_million_end,metric,mean_value
formal_2301_2305,utr_sg,2301,21,10501,11000,2.816,grad_norm,6.170735140293837
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,train_avg_reward,0.25481424655020235
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,entropy,2.124321229815483
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,approx_kl,0.0014708217321331173
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,policy_loss,-0.0024212082575891785
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,value_loss,0.9722643422409892
formal_2301_2305,utr_sg,2301,22,11001,11500,2.944,grad_norm,5.928753780126572
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,train_avg_reward,0.23827176584303378
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,entropy,2.0254600290060045
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,approx_kl,0.0013263771985966737
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,policy_loss,-0.0023963988975897227
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,value_loss,1.2055082343667745
formal_2301_2305,utr_sg,2301,23,11501,12000,3.072,grad_norm,6.593800295352936
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,train_avg_reward,0.2789174353480339
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,entropy,1.8767247523069381
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,approx_kl,0.00142783498256449
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,policy_loss,-0.0024587090879076563
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,value_loss,0.9409588034674525
formal_2301_2305,utr_sg,2301,24,12001,12500,3.2,grad_norm,6.258689231753349
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,train_avg_reward,0.28552608923614026
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,entropy,1.8525435535311698
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,approx_kl,0.0012398284746930881
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,policy_loss,-0.0019451133387555796
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,value_loss,0.9253874111622572
formal_2301_2305,utr_sg,2301,25,12501,13000,3.328,grad_norm,8.747571679919957
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,train_avg_reward,0.27597341787815094
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,entropy,1.8095213539600372
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,approx_kl,0.0013254001396768814
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,policy_loss,-0.002257075435163226
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,value_loss,1.3356885297745467
formal_2301_2305,utr_sg,2301,26,13001,13500,3.456,grad_norm,8.819747082740069
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,train_avg_reward,0.2584580309391022
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,entropy,1.911454735636711
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,approx_kl,0.001618798581364292
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,policy_loss,-0.0025045434981012193
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,value_loss,0.8248970191273838
formal_2301_2305,utr_sg,2301,27,13501,14000,3.584,grad_norm,6.286908301621676
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,train_avg_reward,0.2381645929515362
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,entropy,1.8468126930594444
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,approx_kl,0.0012044264231553816
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,policy_loss,-0.002100432455251074
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,value_loss,1.0526105024088175
formal_2301_2305,utr_sg,2301,28,14001,14500,3.712,grad_norm,8.355824528098106
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,train_avg_reward,0.26368896484375
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,entropy,1.8156881162524223
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,approx_kl,0.0014803842713912055
formal_2301_2305,utr_sg,2301,29,14501,15000,3.84,policy_loss,-0.00248550889337452
