table,method,condition,metric,mean,sd,n,source
table3_robustness,full_ea_rg,R04,delta_recovery_from_R00,0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R04,delta_t_rec_from_R00,0.053333,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R04,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R05,delta_recovery_from_R00,-0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R05,delta_t_rec_from_R00,15.070900,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R05,worst_seed_recovery,0.980000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R07,delta_recovery_from_R00,0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R07,delta_t_rec_from_R00,0.553333,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R07,worst_seed_recovery,1.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R09,delta_recovery_from_R00,-0.066667,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R09,delta_t_rec_from_R00,17.227533,,3,robustness-results-lock-v1.5.0
table3_robustness,full_ea_rg,R09,worst_seed_recovery,0.780000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R01,delta_recovery_from_R00,-0.046667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R01,delta_t_rec_from_R00,7.681453,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R01,worst_seed_recovery,0.820000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R02,delta_recovery_from_R00,-0.066667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R02,delta_t_rec_from_R00,8.606147,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R02,worst_seed_recovery,0.780000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R03,delta_recovery_from_R00,-0.006667,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R03,delta_t_rec_from_R00,7.389930,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R03,worst_seed_recovery,0.840000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R04,delta_recovery_from_R00,-0.053333,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R04,delta_t_rec_from_R00,12.324027,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R04,worst_seed_recovery,0.740000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R05,delta_recovery_from_R00,-0.140000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R05,delta_t_rec_from_R00,15.804867,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R05,worst_seed_recovery,0.580000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R06,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R06,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R06,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R07,delta_recovery_from_R00,0.000000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R07,delta_t_rec_from_R00,4.534827,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R07,worst_seed_recovery,0.880000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R08,delta_recovery_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R08,delta_t_rec_from_R00,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R08,worst_seed_recovery,nan,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R09,delta_recovery_from_R00,-0.213333,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R09,delta_t_rec_from_R00,63.104167,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_gate_prior,R09,worst_seed_recovery,0.420000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R01,delta_recovery_from_R00,-0.060000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R01,delta_t_rec_from_R00,4.414490,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R01,worst_seed_recovery,0.840000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R02,delta_recovery_from_R00,-0.180000,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R02,delta_t_rec_from_R00,8.488697,,3,robustness-results-lock-v1.5.0
table3_robustness,w_o_task_support,R02,worst_seed_recovery,0.680000,,3,robustness-results-lock-v1.5.0
