layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer2,perception,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,0,scout,4,target,0.49990928173065186,0.0018907625926658511,0.49707552790641785,0.5029374361038208,9.071826934814453e-05
layer2,perception,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,1,relay,0.500481128692627,0.0022743165027350187,0.4971536695957184,0.5031726956367493,0.0004811286926269531
layer2,perception,1,relay,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,1,relay,4,target,0.5003290176391602,0.001799431280232966,0.49710410833358765,0.5029538869857788,0.00032901763916015625
layer2,perception,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,2,attacker,0.5007581114768982,0.0020826354157179594,0.4970782995223999,0.503233790397644,0.0007581114768981934
layer2,perception,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,2,attacker,4,target,0.500382661819458,0.0019013106357306242,0.4974544942378998,0.502952516078949,0.0003826618194580078
layer2,perception,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,0,scout,0,scout,0.5005478858947754,0.002049543894827366,0.4971097707748413,0.5029865503311157,0.0005478858947753906
layer2,communication,0,scout,1,relay,0.5002003312110901,0.001997288316488266,0.49700233340263367,0.5028887987136841,0.0002003312110900879
layer2,communication,0,scout,2,attacker,0.4999538064002991,0.0019133330788463354,0.49711182713508606,0.5029618740081787,4.6193599700927734e-05
layer2,communication,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,1,relay,0,scout,0.5002946853637695,0.002234157407656312,0.4971570372581482,0.5032282471656799,0.00029468536376953125
layer2,communication,1,relay,1,relay,0.5004184246063232,0.0021526014897972345,0.4970519244670868,0.5030612945556641,0.0004184246063232422
layer2,communication,1,relay,2,attacker,0.5009343028068542,0.0017906633438542485,0.49733245372772217,0.5030332803726196,0.000934302806854248
layer2,communication,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,2,attacker,0,scout,0.49990150332450867,0.0017950352048501372,0.4971054792404175,0.5030310750007629,9.849667549133301e-05
layer2,communication,2,attacker,1,relay,0.5000512599945068,0.002075559226796031,0.49704426527023315,0.5030737519264221,5.125999450683594e-05
layer2,communication,2,attacker,2,attacker,0.5009729862213135,0.002007863949984312,0.49703577160835266,0.5031524896621704,0.0009729862213134766
layer2,communication,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,0,scout,0.5006093978881836,0.0019658980891108513,0.4969260096549988,0.5030974745750427,0.0006093978881835938
layer2,task_support,0,scout,1,relay,0.499920129776001,0.001970559125766158,0.49711906909942627,0.5028824806213379,7.987022399902344e-05
layer2,task_support,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,task_support,1,relay,1,relay,0.5001184344291687,0.0021960854064673185,0.4968582093715668,0.5032278895378113,0.00011843442916870117
layer2,task_support,1,relay,2,attacker,0.5004920959472656,0.0017458134097978473,0.4974711835384369,0.5028068423271179,0.000492095947265625
layer2,task_support,1,relay,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,2,attacker,0,scout,0.5000932216644287,0.0019564542453736067,0.49721136689186096,0.5029157996177673,9.322166442871094e-05
layer2,task_support,2,attacker,1,relay,0.4997798204421997,0.0019975819159299135,0.4971020519733429,0.5029250979423523,0.00022017955780029297
layer2,task_support,2,attacker,2,attacker,0.5009829998016357,0.0020394243765622377,0.4972582757472992,0.5032870173454285,0.0009829998016357422
layer2,task_support,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,4,target,0.5,0.0,0.5,0.5,0.0
