graph_encoder,relative_step,n_available,tracking_rate_mean,connectivity_mean,chain_closed_mean,recovery_cdf
multi_relation,81,0,nan,nan,nan,nan
multi_relation,82,0,nan,nan,nan,nan
multi_relation,83,0,nan,nan,nan,nan
multi_relation,84,0,nan,nan,nan,nan
multi_relation,85,0,nan,nan,nan,nan
multi_relation,86,0,nan,nan,nan,nan
multi_relation,87,0,nan,nan,nan,nan
multi_relation,88,0,nan,nan,nan,nan
multi_relation,89,0,nan,nan,nan,nan
multi_relation,90,0,nan,nan,nan,nan
multi_relation,91,0,nan,nan,nan,nan
multi_relation,92,0,nan,nan,nan,nan
multi_relation,93,0,nan,nan,nan,nan
multi_relation,94,0,nan,nan,nan,nan
multi_relation,95,0,nan,nan,nan,nan
multi_relation,96,0,nan,nan,nan,nan
multi_relation,97,0,nan,nan,nan,nan
multi_relation,98,0,nan,nan,nan,nan
multi_relation,99,0,nan,nan,nan,nan
multi_relation,100,0,nan,nan,nan,nan
multi_relation,101,0,nan,nan,nan,nan
multi_relation,102,0,nan,nan,nan,nan
multi_relation,103,0,nan,nan,nan,nan
multi_relation,104,0,nan,nan,nan,nan
multi_relation,105,0,nan,nan,nan,nan
multi_relation,106,0,nan,nan,nan,nan
multi_relation,107,0,nan,nan,nan,nan
multi_relation,108,0,nan,nan,nan,nan
multi_relation,109,0,nan,nan,nan,nan
multi_relation,110,0,nan,nan,nan,nan
multi_relation,111,0,nan,nan,nan,nan
multi_relation,112,0,nan,nan,nan,nan
multi_relation,113,0,nan,nan,nan,nan
multi_relation,114,0,nan,nan,nan,nan
multi_relation,115,0,nan,nan,nan,nan
multi_relation,116,0,nan,nan,nan,nan
multi_relation,117,0,nan,nan,nan,nan
multi_relation,118,0,nan,nan,nan,nan
multi_relation,119,0,nan,nan,nan,nan
multi_relation,120,0,nan,nan,nan,nan
multi_relation,121,0,nan,nan,nan,nan
multi_relation,122,0,nan,nan,nan,nan
multi_relation,123,0,nan,nan,nan,nan
multi_relation,124,0,nan,nan,nan,nan
multi_relation,125,0,nan,nan,nan,nan
multi_relation,126,0,nan,nan,nan,nan
multi_relation,127,0,nan,nan,nan,nan
multi_relation,128,0,nan,nan,nan,nan
multi_relation,129,0,nan,nan,nan,nan
multi_relation,130,0,nan,nan,nan,nan
multi_relation,131,0,nan,nan,nan,nan
multi_relation,132,0,nan,nan,nan,nan
multi_relation,133,0,nan,nan,nan,nan
multi_relation,134,0,nan,nan,nan,nan
multi_relation,135,0,nan,nan,nan,nan
multi_relation,136,0,nan,nan,nan,nan
multi_relation,137,0,nan,nan,nan,nan
multi_relation,138,0,nan,nan,nan,nan
multi_relation,139,0,nan,nan,nan,nan
multi_relation,140,0,nan,nan,nan,nan
multi_relation,141,0,nan,nan,nan,nan
multi_relation,142,0,nan,nan,nan,nan
multi_relation,143,0,nan,nan,nan,nan
multi_relation,144,0,nan,nan,nan,nan
multi_relation,145,0,nan,nan,nan,nan
multi_relation,146,0,nan,nan,nan,nan
multi_relation,147,0,nan,nan,nan,nan
multi_relation,148,0,nan,nan,nan,nan
multi_relation,149,0,nan,nan,nan,nan
multi_relation,150,0,nan,nan,nan,nan
multi_relation,151,0,nan,nan,nan,nan
multi_relation,152,0,nan,nan,nan,nan
multi_relation,153,0,nan,nan,nan,nan
multi_relation,154,0,nan,nan,nan,nan
multi_relation,155,0,nan,nan,nan,nan
multi_relation,156,0,nan,nan,nan,nan
multi_relation,157,0,nan,nan,nan,nan
multi_relation,158,0,nan,nan,nan,nan
multi_relation,159,0,nan,nan,nan,nan
multi_relation,160,0,nan,nan,nan,nan
multi_relation,161,0,nan,nan,nan,nan
multi_relation,162,0,nan,nan,nan,nan
multi_relation,163,0,nan,nan,nan,nan
multi_relation,164,0,nan,nan,nan,nan
multi_relation,165,0,nan,nan,nan,nan
multi_relation,166,0,nan,nan,nan,nan
multi_relation,167,0,nan,nan,nan,nan
multi_relation,168,0,nan,nan,nan,nan
multi_relation,169,0,nan,nan,nan,nan
multi_relation,170,0,nan,nan,nan,nan
multi_relation,171,0,nan,nan,nan,nan
multi_relation,172,0,nan,nan,nan,nan
multi_relation,173,0,nan,nan,nan,nan
multi_relation,174,0,nan,nan,nan,nan
multi_relation,175,0,nan,nan,nan,nan
multi_relation,176,0,nan,nan,nan,nan
multi_relation,177,0,nan,nan,nan,nan
multi_relation,178,0,nan,nan,nan,nan
multi_relation,179,0,nan,nan,nan,nan
multi_relation,180,0,nan,nan,nan,nan
multi_relation,181,0,nan,nan,nan,nan
multi_relation,182,0,nan,nan,nan,nan
multi_relation,183,0,nan,nan,nan,nan
multi_relation,184,0,nan,nan,nan,nan
multi_relation,185,0,nan,nan,nan,nan
multi_relation,186,0,nan,nan,nan,nan
multi_relation,187,0,nan,nan,nan,nan
multi_relation,188,0,nan,nan,nan,nan
multi_relation,189,0,nan,nan,nan,nan
multi_relation,190,0,nan,nan,nan,nan
multi_relation,191,0,nan,nan,nan,nan
multi_relation,192,0,nan,nan,nan,nan
multi_relation,193,0,nan,nan,nan,nan
multi_relation,194,0,nan,nan,nan,nan
multi_relation,195,0,nan,nan,nan,nan
multi_relation,196,0,nan,nan,nan,nan
multi_relation,197,0,nan,nan,nan,nan
multi_relation,198,0,nan,nan,nan,nan
multi_relation,199,0,nan,nan,nan,nan
multi_relation,200,0,nan,nan,nan,nan
multi_relation,201,0,nan,nan,nan,nan
multi_relation,202,0,nan,nan,nan,nan
multi_relation,203,0,nan,nan,nan,nan
multi_relation,204,0,nan,nan,nan,nan
multi_relation,205,0,nan,nan,nan,nan
multi_relation,206,0,nan,nan,nan,nan
multi_relation,207,0,nan,nan,nan,nan
multi_relation,208,0,nan,nan,nan,nan
multi_relation,209,0,nan,nan,nan,nan
multi_relation,210,0,nan,nan,nan,nan
multi_relation,211,0,nan,nan,nan,nan
multi_relation,212,0,nan,nan,nan,nan
multi_relation,213,0,nan,nan,nan,nan
multi_relation,214,0,nan,nan,nan,nan
multi_relation,215,0,nan,nan,nan,nan
multi_relation,216,0,nan,nan,nan,nan
multi_relation,217,0,nan,nan,nan,nan
multi_relation,218,0,nan,nan,nan,nan
multi_relation,219,0,nan,nan,nan,nan
multi_relation,220,0,nan,nan,nan,nan
