method,train_seed,cell,episode_id,eval_seed,checkpoint_path,checkpoint_sha256,checkpoint_update,protocol_tag,implementation_tag,preflight_lock_tag,steps,failure_start_step,failure_exposed,success,collision,post_failure_chain_recovered,recovery_window_start_step,recovery_event_time,censor_time,recovery_observed,reward
full_ea_rg,0,C1,36,1208643,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.849910244345665
full_ea_rg,0,C1,39,1208646,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.26440301537514
full_ea_rg,0,C1,32,1208639,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,33.64233313500881
full_ea_rg,0,C1,33,1208640,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,33.485245764255524
full_ea_rg,0,C1,35,1208642,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,33.45547530055046
full_ea_rg,0,C1,37,1208644,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,45.0,25.0,1.0,1.0,0.0,1.0,42.0,17.0,-1.0,1.0,33.69105742871761
full_ea_rg,0,C1,34,1208641,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,47.0,25.0,1.0,1.0,0.0,1.0,44.0,19.0,-1.0,1.0,35.53289556503296
full_ea_rg,0,C1,38,1208645,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,48.0,25.0,1.0,1.0,0.0,1.0,45.0,20.0,-1.0,1.0,35.90575139224529
full_ea_rg,0,C1,40,1208647,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,32.89335358142853
full_ea_rg,0,C1,42,1208649,D:\Code\Codex\ri_gmappo_uav\results\paper_config_runs\formal_budget_post_sixth_freeze_v1.4_formal_main_20260802\ea_rg_mappo_s_gate_prior\ppo_seed0_1m\actor_critic_update_0700.pt,B9FECBE9ACC3A7CB7306F80338DA8116E54D86A71292A3AA188D6378EF75A82A,700,p3a-ood-protocol-v1.1,p3a-ood-eval-impl-v1.1.3,p3a-ood-preflight-lock-v1.1,44.0,25.0,1.0,1.0,0.0,1.0,41.0,16.0,-1.0,1.0,33.142680794000626
