episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
10,140010,0.0,0.0,0.0,1.0,260.0,0.03653033507558016,0.10092161744832992,0.01706730769230769,0.75,0.75,0.2548076923076923,0.029156354499550965,0.04507900355383754,0.014663461538461538,0.7499999995988149,0.7499999983236194,0.271875,0.2230769230769231,1.0,0.20384615384615384
11,140011,0.0,0.0,0.0,1.0,260.0,0.033118054650123935,0.09940042544520107,0.015384615384615385,0.7500000002292486,0.7500000005587936,0.25625,0.03395078093386614,0.057531791366636754,0.01706730769230769,0.75,0.75,0.27163461538461536,0.25769230769230766,1.0,0.18461538461538463
12,140012,0.0,0.0,0.0,1.0,260.0,0.03519354600172776,0.106144436635077,0.016346153846153847,0.7499999999426878,0.75,0.25745192307692305,0.031080412864685058,0.05130788218230009,0.015625,0.7499999998280635,0.75,0.27379807692307695,0.2423076923076923,1.0,0.18846153846153846
13,140013,0.0,0.0,0.0,1.0,260.0,0.029591106451474704,0.06392367221415043,0.013942307692307693,0.7499999998853757,0.7499999998137354,0.2548076923076923,0.024380537495017052,0.038863689545542,0.012259615384615384,0.75,0.749999999254942,0.26875,0.19615384615384615,1.0,0.2
14,140014,0.0,0.0,0.0,1.0,260.0,0.029472433374478267,0.08755749389529228,0.013701923076923077,0.7500000001719365,0.75,0.24903846153846154,0.029642504912156326,0.045084794890135525,0.014903846153846155,0.75,0.75,0.2627403846153846,0.23461538461538461,1.0,0.17692307692307693
15,140015,1.0,1.0,0.0,0.0,51.0,0.13166461799808285,0.23410441813927557,0.061274509803921566,0.7499999985391018,0.7499999994481051,0.31004901960784315,0.056118665664803745,0.0921742891271909,0.028186274509803922,0.7499999997078204,0.75,0.3713235294117647,0.4117647058823529,1.0,0.5882352941176471
16,140016,1.0,1.0,0.0,0.0,50.0,0.1313273024559021,0.23739910641541848,0.06125,0.7499999985098839,0.75,0.30625,0.04480408415198326,0.0669983341716803,0.0225,0.75,0.75,0.3675,0.34,1.0,0.58
17,140017,1.0,1.0,0.0,0.0,52.0,0.1444995219890888,0.24956058817250387,0.0673076923076923,0.75,0.75,0.3088942307692308,0.06702493202800934,0.09780011086591653,0.03365384615384615,0.7499999997134392,0.7499999994678157,0.3762019230769231,0.46153846153846156,1.0,0.6153846153846154
18,140018,0.0,0.0,0.0,1.0,260.0,0.033088042529729696,0.10095705185085535,0.015384615384615385,0.7500000001719365,0.75,0.25408653846153845,0.02772338315844536,0.04352904399856925,0.013942307692307693,0.7500000002292486,0.749999999254942,0.26947115384615383,0.21153846153846154,1.0,0.17692307692307693
19,140019,1.0,1.0,0.0,0.0,51.0,0.12906926461294585,0.2292004790571001,0.06004901960784314,0.7500000011687186,0.75,0.30392156862745096,0.03903780293230917,0.06913212907535059,0.0196078431372549,0.7500000008765388,0.75,0.3639705882352941,0.29411764705882354,1.0,0.5882352941176471
