episode,seed,success,chain_closed,collision,timeout,steps,perception_attention_mass_mean,perception_attention_mass_during_failure,perception_edge_density_mean,communication_attention_mass_mean,communication_attention_mass_during_failure,communication_edge_density_mean,task_support_attention_mass_mean,task_support_attention_mass_during_failure,task_support_edge_density_mean,global_attention_mass_mean,global_attention_mass_during_failure,global_edge_density_mean,task_support_active_rate,communication_active_rate,perception_active_rate
10,140010,0.0,0.0,0.0,1.0,260.0,0.030902220824590095,0.09145792033523321,0.018028846153846152,0.7499999995988149,0.75,0.3384615384615385,0.0027233810401342522,0.0035147498711012304,0.030528846153846153,0.749377058331783,0.7479754410684109,0.3564903846153846,0.3230769230769231,1.0,0.16153846153846155
11,140011,0.0,0.0,0.0,1.0,260.0,0.025059765892533156,0.07249664682894945,0.01826923076923077,0.7500000006304337,0.75,0.34807692307692306,0.002614107406304339,0.0027699280944943894,0.029326923076923077,0.7499999998853757,0.7499999998137354,0.3663461538461538,0.3153846153846154,1.0,0.16923076923076924
12,140012,0.0,0.0,0.0,1.0,260.0,0.025518781548509232,0.07396497977897525,0.018990384615384614,0.7500000002292486,0.75,0.3375,0.0025301346387445497,0.0029760358469502536,0.029326923076923077,0.7500000000573122,0.749999999254942,0.3564903846153846,0.3269230769230769,1.0,0.17307692307692307
13,140013,0.0,0.0,0.0,1.0,260.0,0.024676536310177584,0.07118387371301652,0.01610576923076923,0.7500000009169945,0.750000000745058,0.34375,0.002631225779679461,0.003423452404967975,0.029086538461538462,0.7499999994841906,0.7499999988824129,0.35985576923076923,0.33076923076923076,1.0,0.15
14,140014,0.0,0.0,0.0,1.0,260.0,0.025450991094112398,0.0736938625574112,0.017548076923076923,0.7500000002865608,0.7499999990686774,0.3389423076923077,0.0024954805307771917,0.0032554056590015533,0.02956730769230769,0.7500000000573122,0.7499999998137354,0.3564903846153846,0.3423076923076923,1.0,0.16153846153846155
15,140015,1.0,1.0,0.0,0.0,44.0,0.09273626486008818,0.17688340544700623,0.07244318181818182,0.7500000010159883,0.75,0.2869318181818182,0.001496374088508839,0.0004496744135394692,0.019886363636363636,0.7500000010159883,0.7500000022351742,0.359375,0.20454545454545456,1.0,0.5909090909090909
16,140016,1.0,1.0,0.0,0.0,44.0,0.10313566130670634,0.1998077418655157,0.07244318181818182,0.75,0.75,0.28267045454545453,0.00047507941516497255,2.6347365928813814e-05,0.008522727272727272,0.7463597601110284,0.7419914722442627,0.35511363636363635,0.11363636363636363,1.0,0.5909090909090909
17,140017,1.0,1.0,0.0,0.0,45.0,0.09863412463002735,0.1814270934888295,0.07777777777777778,0.7500000013245477,0.7500000028383165,0.2777777777777778,0.0012768969657181032,0.00038089162054737765,0.016666666666666666,0.7500000026490953,0.7500000056766328,0.35555555555555557,0.2,1.0,0.6222222222222222
18,140018,0.0,0.0,0.0,1.0,260.0,0.029037904394562466,0.08644284773311031,0.018509615384615385,0.7499999999426878,0.7500000005587936,0.3317307692307692,0.0028550838565794177,0.003566075048001949,0.03076923076923077,0.749398999947768,0.748046749830246,0.3502403846153846,0.3423076923076923,1.0,0.16538461538461538
19,140019,1.0,1.0,0.0,0.0,44.0,0.09410536255348813,0.17980200462043286,0.07386363636363637,0.75,0.7500000029802323,0.2840909090909091,0.0006961432002505965,0.0004489742947043851,0.011363636363636364,0.75,0.75,0.35795454545454547,0.13636363636363635,1.0,0.5909090909090909
