arm,seed,checkpoint_label,condition,J,collision,timeout,constraint_violation,failure_exposure,failure_exposure_all_scheduled,episode_length,risk_set_size,survival_to_onset_fraction,failure_trigger_success_rate_risk_set,pretrigger_collision_count,pretrigger_collision_rate,path_switch_count,direct_path_fraction,relay_path_fraction,task_support_fraction,legal_information_fraction,mean_cache_age,traveled_distance,control_effort
utr_sg,2403,10m,compound_60_120,210.40777214141562,0.0,0.82,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.63,0.054000000000000006,0.0,0.8839166666666667,1.0,21.119500000000002,130210.73558929443,852.08
utr_sg,2404,10m,nominal,240.16928241610526,0.02,0.48,0.0,nan,nan,255.6,0,nan,nan,0,nan,5.95,0.0,0.0,0.0,0.0,nan,132105.37971954345,915.1
utr_sg,2404,10m,f0_seen_44_80,222.6293256083876,0.02,0.56,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.53,0.21375,0.0,0.738375,0.98,14.026275510204082,132187.9334310913,900.16
utr_sg,2404,10m,timing_28_80,226.7396183230728,0.02,0.51,0.0,1.0,1.0,255.6,100,1.0,1.0,0,0.0,5.97,0.2439423076923077,0.0,0.7408942307692308,1.0,13.71625,132219.37851348877,904.91
utr_sg,2404,10m,timing_36_80,223.04250456012787,0.02,0.55,0.0,1.0,1.0,255.6,100,1.0,1.0,0,0.0,6.04,0.254875,0.0,0.728125,1.0,13.689583333333333,132203.06647705077,903.87
utr_sg,2404,10m,timing_52_80,222.8438213519752,0.02,0.56,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.75,0.17300000000000001,0.0,0.773875,0.98,14.271683673469388,132157.77462921143,898.76
utr_sg,2404,10m,timing_60_80,222.03762323077768,0.02,0.58,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.65,0.138125,0.0,0.8270000000000001,0.98,14.684013605442177,131861.35747009277,898.48
utr_sg,2404,10m,duration_44_40,231.7164015378803,0.02,0.54,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.41,0.3065,0.0,0.6182500000000001,0.98,7.804251700680273,132202.1245626831,917.42
utr_sg,2404,10m,duration_44_60,227.8063587576896,0.02,0.53,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.49,0.24466666666666664,0.0,0.6984999999999999,0.98,10.841156462585033,132228.68671417236,911.8
utr_sg,2404,10m,duration_44_100,216.5664859829098,0.02,0.62,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.4,0.195,0.0,0.7625,0.98,17.270680272108844,131201.85790832518,899.74
utr_sg,2404,10m,duration_44_120,211.4138859731704,0.02,0.65,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.38,0.18291666666666667,0.0,0.77875,0.98,20.544727891156462,130054.41366088868,906.38
utr_sg,2404,10m,compound_28_120,214.3188812866807,0.02,0.62,0.0,1.0,1.0,255.6,100,1.0,1.0,0,0.0,5.8,0.2021923076923077,0.0,0.7875192307692308,1.0,20.103055555555557,129783.27997680665,900.54
utr_sg,2404,10m,compound_60_120,212.5241249508038,0.02,0.68,0.0,0.98,0.98,255.6,98,0.98,1.0,2,0.02,6.49,0.13266666666666668,0.0,0.8379166666666668,0.98,21.262131519274377,129382.39130859375,909.56
utr_sg,2405,10m,nominal,210.9962743632961,0.05,0.54,0.0,nan,nan,256.99,0,nan,nan,0,nan,5.88,0.0,0.0,0.0,0.0,nan,146727.62653778077,1031.07
utr_sg,2405,10m,f0_seen_44_80,182.48885059460065,0.02,0.59,0.0,1.0,1.0,258.44,100,1.0,1.0,0,0.0,6.5,0.311125,0.0,0.193875,0.5061249999999999,17.324416666666664,147001.51258087158,1031.73
utr_sg,2405,10m,timing_28_80,143.78736916387453,0.01,0.75,0.0,1.0,1.0,259.31,100,1.0,1.0,0,0.0,5.27,0.24600000000000002,0.0,0.047625,0.306375,20.480499999999996,148623.99930603028,1072.73
utr_sg,2405,10m,timing_36_80,159.93781990958377,0.05,0.72,0.0,1.0,1.0,256.75,100,1.0,1.0,0,0.0,5.5,0.28625,0.0,0.114875,0.405125,18.7345,146529.17725952147,1041.31
utr_sg,2405,10m,timing_52_80,188.49148626163603,0.01,0.58,0.0,1.0,1.0,259.17,100,1.0,1.0,0,0.0,7.02,0.321625,0.0,0.28212499999999996,0.60675,16.35733333333333,147438.50092285156,1032.67
utr_sg,2405,10m,timing_60_80,191.4748920730036,0.02,0.58,0.0,1.0,1.0,259.18,100,1.0,1.0,0,0.0,7.19,0.327125,0.0,0.37450000000000006,0.705,16.013541666666665,147505.88122894286,1020.39
utr_sg,2405,10m,duration_44_40,197.15085001043045,0.04,0.55,0.0,1.0,1.0,257.73,100,1.0,1.0,0,0.0,8.59,0.018250000000000002,0.0,0.0,0.018250000000000002,14.317083333333333,146697.8734805298,1034.97
utr_sg,2405,10m,duration_44_60,193.57913702770136,0.0,0.6,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,8.94,0.2925,0.0,0.036333333333333336,0.34149999999999997,15.240333333333332,147677.23788757325,1043.59
utr_sg,2405,10m,duration_44_100,185.82147650553844,0.05,0.53,0.0,1.0,1.0,256.23,100,1.0,1.0,0,0.0,6.75,0.256,0.0,0.349,0.6049,19.9082,145297.84485473632,1003.34
utr_sg,2405,10m,duration_44_120,181.7480795098748,0.04,0.53,0.0,1.0,1.0,256.86,100,1.0,1.0,0,0.0,6.58,0.21333333333333332,0.0,0.45399999999999996,0.6707500000000001,22.741833333333332,145790.2441131592,992.25
utr_sg,2405,10m,compound_28_120,181.76442854935303,0.03,0.57,0.0,1.0,1.0,257.67,100,1.0,1.0,0,0.0,6.52,0.20525,0.0,0.3295,0.5375833333333333,24.820333333333334,145935.31301391602,995.16
utr_sg,2405,10m,compound_60_120,182.4297469747346,0.01,0.6,0.0,1.0,1.0,259.22,100,1.0,1.0,0,0.0,6.73,0.21816666666666668,0.0,0.5779166666666666,0.8033333333333332,22.117916666666666,147641.57810333252,991.35
snr_sg,2401,10m,nominal,145.5873688012082,0.0,0.98,0.0,nan,nan,260.0,0,nan,nan,0,nan,12.16,0.0,0.0,0.0,0.0,nan,158269.72815582276,1220.24
snr_sg,2401,10m,f0_seen_44_80,168.42812648475171,0.0,0.86,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,11.13,0.373125,0.0,0.239375,0.546625,17.096375,155465.75089660645,1183.22
snr_sg,2401,10m,timing_28_80,174.92806864254177,0.0,0.94,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,9.48,0.298,0.0,0.080375,0.35850000000000004,19.851499999999998,153972.89644195556,1215.83
snr_sg,2401,10m,timing_36_80,177.9931951396726,0.0,0.89,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,10.76,0.33975,0.0,0.15775,0.458125,18.214333333333332,154382.51479644777,1194.33
snr_sg,2401,10m,timing_52_80,162.04740777573548,0.0,0.84,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,15.58,0.396625,0.0,0.3225,0.616625,17.170166666666667,156194.27703857422,1177.79
snr_sg,2401,10m,timing_60_80,94.6328384337388,0.0,0.96,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,7.19,0.6032500000000001,0.0,0.163,0.6825,17.918875,159244.57234161376,1275.8
snr_sg,2401,10m,duration_44_40,143.8622757118568,0.0,0.98,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,6.95,0.09325,0.0,0.0,0.09325,13.949416666666666,155886.8514352417,1237.56
snr_sg,2401,10m,duration_44_60,166.83024118274452,0.0,0.94,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,7.59,0.3473333333333333,0.0,0.064,0.3955,14.936277777777777,155386.9394897461,1223.26
snr_sg,2401,10m,duration_44_100,169.96776184041985,0.0,0.81,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,23.9,0.3642,0.0,0.3883,0.6373000000000001,19.725766666666665,155373.73547607422,1179.46
snr_sg,2401,10m,duration_44_120,162.51941680119373,0.0,0.85,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,36.27,0.35625,0.0,0.48825,0.6977500000000001,22.589805555555557,155729.4188153076,1198.28
snr_sg,2401,10m,compound_28_120,163.60857470337302,0.0,0.84,0.0,1.0,1.0,260.0,100,1.0,1.0,0,0.0,26.28,0.31233333333333335,0.0,0.36424999999999996,0.5723333333333334,24.401,154249.94435668946,1191.51
