protocol,development_episode_id,method,train_seed,condition,J,success_at_horizon,collision,timeout,constraint_violation,terminal_step,failure_exposed,direct_path_fraction_during_failure,relay_path_fraction_during_failure,task_support_fraction_during_failure,legal_information_fraction_during_failure,mean_cache_age_during_failure,path_switch_count,traveled_distance,control_effort,evaluation_budget,topology_condition,onset,duration,checkpoint_sha256,tape_hash,inference_unit
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500020,drtp_sg,2401,nominal,152.9682924626395,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,164658.0002746582,1192.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500021,drtp_sg,2401,nominal,216.7539437711239,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,15,162657.00204467773,1089.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500022,drtp_sg,2401,nominal,174.46094725839794,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163685.9776916504,1172.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500023,drtp_sg,2401,nominal,229.64384306967258,1.0,0.0,0.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,15,161060.02996826172,1097.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500024,drtp_sg,2401,nominal,183.8954016212374,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,163824.01287841797,1133.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500025,drtp_sg,2401,nominal,159.1981214741245,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,165428.9906616211,1184.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500026,drtp_sg,2401,nominal,156.5891876919195,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,164784.01861572266,1234.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500027,drtp_sg,2401,nominal,166.02417449187487,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,163934.00427246094,1145.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500028,drtp_sg,2401,nominal,211.6652543693781,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,1,162095.99908447266,1081.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
DRTP-SNR-Q2-MECHANISM-COMPARATOR-EVALUATION-V1,500029,drtp_sg,2401,nominal,201.31076341681182,0.0,0.0,1.0,0.0,260,0,0.0,0.0,0.0,0.0,nan,5,163455.06256103516,1080.0,10m,nominal,,,87ff28cb9e290a40f42e2c1772958a9de0290eae47512980f5143dd263c3ee31,c89f63bc5a11e3def88fa677356796ea681ca227d31e47dc584764a3a3084fc2,training_seed
