method,train_seed,update_start,update_end,environment_steps_million,train_avg_reward,approx_kl,clip_fraction
utr_sg,2302,24001,24500,6.144256,0.20531359040737152,0.0017678093422688653,0.017453125490108506
utr_sg,2302,24501,25000,6.272256,0.24604594549536704,0.001956641419972275,0.01912239636387676
utr_sg,2302,25001,25500,6.400256,0.2366804697662592,0.001299575357438387,0.011296224233636167
utr_sg,2302,25501,26000,6.528256,0.22973368120193483,0.0017961062766395641,0.0179108078473364
utr_sg,2302,26001,26500,6.656256,0.2272237168843858,0.0017449956204497153,0.017035156749247108
utr_sg,2302,26501,27000,6.784256,0.22393460795283318,0.0017434051299724082,0.01699609417101601
utr_sg,2302,27001,27500,6.912256,0.22273857455700635,0.0015738293229657363,0.014983073335140944
utr_sg,2302,27501,28000,7.040256,0.20838381157815455,0.0014756177122538466,0.013745443081075791
utr_sg,2302,28001,28500,7.168256,0.2190642192438245,0.0018132517147481167,0.017996745317766908
utr_sg,2302,28501,29000,7.296256,0.20621342824026942,0.0014162835992377251,0.013139974350167904
utr_sg,2302,29001,29500,7.424256,0.22841104809567334,0.0018513716360745607,0.018219401556882075
utr_sg,2302,29501,30000,7.552256,0.25763839621841905,0.0016414028423911594,0.01608593796205241
utr_sg,2302,30001,30500,7.680256,0.21482765091210604,0.0016619432054818897,0.016249349445162806
utr_sg,2302,30501,31000,7.808256,0.24740939266234635,0.001925930149671018,0.020326172429951838
utr_sg,2302,31001,31500,7.936256,0.245443801805377,0.0015746010372346556,0.015339193135674577
utr_sg,2302,31501,32000,8.064256,0.24463406214118003,0.0017752022251576393,0.017542969224392437
utr_sg,2302,32001,32500,8.192256,0.2359828391596675,0.001390789735156419,0.012916667038341984
utr_sg,2302,32501,33000,8.320256,0.25438847835361955,0.001551858575727377,0.014776693133695517
utr_sg,2302,33001,33500,8.448256,0.25966854217648505,0.0016465769328418195,0.01589453170954948
utr_sg,2302,33501,34000,8.576256,0.2577047276496887,0.0015771275008549487,0.015317708789079915
utr_sg,2302,34001,34500,8.704256,0.25354615822434423,0.0016527265778273912,0.016206380674033426
utr_sg,2302,34501,35000,8.832256,0.19536066260933876,0.0012804589629379893,0.011746094079746399
utr_sg,2302,35001,35500,8.960256,0.2519196916669607,0.0020508378221929737,0.02072005272633396
utr_sg,2302,35501,36000,9.088256,0.23571747444570065,0.0013852877950788,0.01249218788894359
utr_sg,2302,36001,36500,9.216256,0.21653756545484065,0.0016466389541519568,0.015590495228359941
utr_sg,2302,36501,37000,9.344256,0.2488358560502529,0.0018738143079844928,0.018934896327613387
utr_sg,2302,37001,37500,9.472256,0.2530247702896595,0.0014410734125661492,0.012653646181861404
utr_sg,2302,37501,38000,9.600256,0.24467421232163905,0.0021163441153203033,0.021191406866244506
utr_sg,2302,38001,38500,9.728256,0.2617514525055885,0.002007599687197084,0.018415365103224758
utr_sg,2302,38501,39000,9.856256,0.2512866674661636,0.001758338787351314,0.01623112024087459
utr_sg,2302,39001,39063,9.984256,0.24953299216807834,0.0018312230827682886,0.01755745747793717
utr_sg,2303,1,500,0.000256,-0.0053728668362200555,0.0007977174864253508,0.003860026154026855
utr_sg,2303,501,1000,0.128256,0.026116418348016396,0.0010425057758384356,0.006602213726262562
utr_sg,2303,1001,1500,0.256256,0.07796301767230034,0.0006254792793161716,0.0023352865296183156
utr_sg,2303,1501,2000,0.384256,0.08421630060859024,0.0005618705612730537,0.001998046920634806
utr_sg,2303,2001,2500,0.512256,0.11347928977012635,0.0008244855347862767,0.00457877616060432
utr_sg,2303,2501,3000,0.640256,0.10299515409395099,0.0010209065791320121,0.006604817881598137
utr_sg,2303,3001,3500,0.768256,0.11996829713601619,0.0008123072195179096,0.004252604292123579
utr_sg,2303,3501,4000,0.896256,0.11488850731775165,0.0007112027777346459,0.0031979167598765344
utr_sg,2303,4001,4500,1.024256,0.1304332979619503,0.0008707433121830946,0.005261718912108335
utr_sg,2303,4501,5000,1.152256,0.13108418686687948,0.0008864153548042849,0.005159505341143813
utr_sg,2303,5001,5500,1.280256,0.0952871113717556,0.0018131373215061705,0.016674479610985143
utr_sg,2303,5501,6000,1.408256,0.1238846428990364,0.001286918409814916,0.010498698210925795
utr_sg,2303,6001,6500,1.536256,0.1476522601172328,0.0009290567231583582,0.005701823074661661
utr_sg,2303,6501,7000,1.664256,0.15724607970938087,0.0010249514028406943,0.006650390804396011
utr_sg,2303,7001,7500,1.792256,0.17312709146738053,0.0008907413628786947,0.0050384115927736275
utr_sg,2303,7501,8000,1.920256,0.1863798518627882,0.0013812865051800142,0.010959635739272926
utr_sg,2303,8001,8500,2.048256,0.1931198976226151,0.0010643761284283451,0.00605598973936867
utr_sg,2303,8501,9000,2.176256,0.18918565994128586,0.0011646494201812247,0.007714843968278729
utr_sg,2303,9001,9500,2.304256,0.196543920353055,0.0014746649792035287,0.011855469099537004
utr_sg,2303,9501,10000,2.432256,0.22359303939342498,0.0013695027200819818,0.010431640951079317
utr_sg,2303,10001,10500,2.560256,0.23117930004000664,0.001337951624334285,0.010065755478048232
utr_sg,2303,10501,11000,2.688256,0.2100553949549794,0.0014800496313710021,0.012208984742290341
utr_sg,2303,11001,11500,2.816256,0.22249613708257676,0.0015349580725366337,0.012988281626545358
utr_sg,2303,11501,12000,2.944256,0.21026536282151936,0.0016952126720771042,0.015507161906687543
utr_sg,2303,12001,12500,3.072256,0.19390395199507474,0.0015814017716969217,0.013749349318386521
utr_sg,2303,12501,13000,3.200256,0.2139234951213002,0.0017907375019337135,0.016973307791980915
utr_sg,2303,13001,13500,3.328256,0.16831755094137044,0.001650819300748783,0.01544140667328611
utr_sg,2303,13501,14000,3.456256,0.2378043409138918,0.0014041301791424597,0.011566406561993063
utr_sg,2303,14001,14500,3.584256,0.23001754583418368,0.0014584631876438515,0.012264323292067274
utr_sg,2303,14501,15000,3.712256,0.22549292828142642,0.0014401329165599822,0.012493489925574978
utr_sg,2303,15001,15500,3.840256,0.23806125220656396,0.0016882823764423514,0.015003906688070856
utr_sg,2303,15501,16000,3.968256,0.2487955270111561,0.0014155622931784787,0.011607422203815077
utr_sg,2303,16001,16500,4.096256,0.23524728190898894,0.0013784827157064647,0.011358073244628031
utr_sg,2303,16501,17000,4.224256,0.22038505840301514,0.0012831967857227897,0.00967122426244896
utr_sg,2303,17001,17500,4.352256,0.20362907169014216,0.0015081564465384229,0.013130208683025557
utr_sg,2303,17501,18000,4.480256,0.22408195228874683,0.0015218421376878989,0.012958984730241355
