layer,relation,receiver_role,receiver_role_name,sender_role,sender_role_name,gate_mean,gate_std,gate_min,gate_max,gate_abs_delta_from_0_5
layer2,perception,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,3,interceptor,4,target,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,perception,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,perception,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,0,scout,0,scout,0.4999486207962036,0.00018249108688905835,0.4997251331806183,0.5002539753913879,5.137920379638672e-05
layer2,communication,0,scout,1,relay,0.5986570119857788,0.00011843778338516131,0.59844970703125,0.5988289713859558,0.09865701198577881
layer2,communication,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,communication,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,1,relay,0,scout,0.5986615419387817,0.00011194910621270537,0.5984835028648376,0.598893940448761,0.09866154193878174
layer2,communication,1,relay,1,relay,0.4999762177467346,0.00016349201905541122,0.4997134804725647,0.5002537965774536,2.378225326538086e-05
layer2,communication,1,relay,2,attacker,0.5986926555633545,7.747781637590379e-05,0.5985454320907593,0.5988675355911255,0.09869265556335449
layer2,communication,1,relay,3,interceptor,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,communication,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,2,attacker,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,communication,2,attacker,1,relay,0.5986515283584595,0.00010923502850346267,0.598459005355835,0.5988284349441528,0.09865152835845947
layer2,communication,2,attacker,2,attacker,0.5000149011611938,0.00016291018982883543,0.4997312128543854,0.5002306699752808,1.4901161193847656e-05
layer2,communication,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,communication,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,communication,4,target,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,0,scout,0.5000514984130859,0.00017825055692810565,0.4997188150882721,0.500268816947937,5.14984130859375e-05
layer2,task_support,0,scout,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,0,scout,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,0,scout,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,1,relay,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,task_support,1,relay,1,relay,0.49999815225601196,0.00016410517855547369,0.49977022409439087,0.5002709627151489,1.8477439880371094e-06
layer2,task_support,1,relay,2,attacker,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,1,relay,3,interceptor,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,1,relay,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,2,attacker,0,scout,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,2,attacker,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,2,attacker,2,attacker,0.49998176097869873,0.00017777828907128423,0.4997347891330719,0.5002782940864563,1.823902130126953e-05
layer2,task_support,2,attacker,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,2,attacker,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,0,scout,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,3,interceptor,1,relay,0.5986876487731934,0.0,0.5986876487731934,0.5986876487731934,0.09868764877319336
layer2,task_support,3,interceptor,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,3,interceptor,4,target,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,0,scout,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,1,relay,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,2,attacker,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,3,interceptor,0.5,0.0,0.5,0.5,0.0
layer2,task_support,4,target,4,target,0.5,0.0,0.5,0.5,0.0
