graph_encoder,train_seed,episode,rollout_seed,step,node_failure_active,success,timeout,chain_closed,tracking_rate,attack_window_rate,comm_connectivity,mean_message_age,mean_range,blue0_x,blue0_y,blue0_z,blue1_x,blue1_y,blue1_z,blue2_x,blue2_y,blue2_z,red0_x,red0_y,red0_z
single,0,0,91000,57,1,0,0,0,0,0,0.333333,11.3333,2914.42,-514.389,-2496.45,5077.85,-3514.26,0,5115.38,753.588,1487.77,5108.22,-1967.13,-2191.06,5128.25
single,0,0,91000,58,1,0,0,0,0,0,0.333333,12,3053.93,-297.687,-2382.25,5082.75,-3294.26,0,5115.38,1010.83,1405.93,5102.82,-2177.08,-2195.07,5130.5
single,0,0,91000,59,1,0,0,0,0,0,0.333333,12.6667,3229.24,-80.9852,-2268.05,5087.65,-3074.26,0,5115.38,1267.12,1324.4,5126.69,-2387.03,-2199.08,5132.75
single,0,0,91000,60,1,0,0,0,0,0,0.333333,13.3333,3441.2,135.717,-2153.86,5092.55,-2854.26,0,5115.38,1524.36,1242.57,5121.29,-2596.98,-2203.09,5135
single,0,0,91000,61,1,0,0,0,0,0,0.333333,14,3689.74,352.419,-2039.66,5097.45,-2634.26,0,5115.38,1780.65,1161.03,5145.15,-2806.93,-2207.1,5137.25
single,0,0,91000,62,1,0,0,0,0,0,0.333333,14.6667,3973.58,569.121,-1925.46,5102.35,-2414.26,0,5115.38,2037.89,1079.2,5139.75,-3016.88,-2211.11,5139.5
single,0,0,91000,63,1,0,0,0,0,0,0.333333,15.3333,4288.32,785.823,-1811.26,5107.25,-2194.26,0,5115.38,2294.18,997.669,5163.62,-3226.83,-2215.12,5141.75
single,0,0,91000,64,1,0,0,0,0,0,0.333333,16,4629.03,1002.52,-1697.06,5112.15,-1974.26,0,5115.38,2551.42,915.833,5158.22,-3436.78,-2219.13,5144
single,0,0,91000,65,1,0,0,0,0,0,0.333333,16.6667,4989.92,1219.23,-1582.87,5117.05,-1754.26,0,5115.38,2807.71,834.302,5182.08,-3646.73,-2223.14,5146.25
single,0,0,91000,66,1,0,0,0,0,0,0.333333,17.3333,5366.81,1435.93,-1468.67,5121.95,-1534.26,0,5115.38,3064.95,752.467,5176.68,-3856.68,-2227.15,5148.5
single,0,0,91000,67,1,0,0,0,0,0,0.333333,18,5755.66,1652.63,-1354.47,5126.85,-1314.26,0,5115.38,3321.24,670.936,5200.54,-4066.63,-2231.16,5150.75
single,0,0,91000,68,1,0,0,0,0,0,0.333333,18.6667,6154.15,1869.33,-1240.27,5131.75,-1094.26,0,5115.38,3578.48,589.101,5195.14,-4276.58,-2235.17,5153
single,0,0,91000,69,1,0,0,0,0,0,0.333333,19.3333,6559.83,2086.03,-1126.07,5136.65,-874.259,0,5115.38,3834.77,507.57,5219.01,-4486.52,-2239.18,5155.25
single,0,0,91000,70,1,0,0,0,0,0,0.333333,20,6971.6,2302.74,-1011.87,5141.55,-654.259,0,5115.38,4092.01,425.735,5213.61,-4696.47,-2243.19,5157.5
single,0,0,91000,71,1,0,0,0,0,0,0.333333,20.6667,7387.9,2519.44,-897.676,5146.45,-434.259,0,5115.38,4348.3,344.204,5237.47,-4906.42,-2247.2,5159.75
single,0,0,91000,72,1,0,0,0,0,0,0.333333,21.3333,7808.29,2736.14,-783.478,5151.35,-214.259,0,5115.38,4605.54,262.369,5232.07,-5116.37,-2251.21,5162
single,0,0,91000,73,1,0,0,0,0,0,0.333333,22,8231.68,2952.84,-669.28,5156.25,5.74072,0,5115.38,4861.83,180.838,5255.94,-5326.32,-2255.22,5164.25
single,0,0,91000,74,1,0,0,0,0,0,0.333333,22.6667,8657.95,3169.54,-555.081,5161.15,225.741,0,5115.38,5119.07,99.003,5250.54,-5536.27,-2259.23,5166.5
single,0,0,91000,75,1,0,0,0,0,0,0.333333,23.3333,9086.29,3386.25,-440.883,5166.05,445.741,0,5115.38,5375.36,17.472,5274.4,-5746.22,-2263.24,5168.75
single,0,0,91000,76,1,0,0,0,0,0,0.333333,24,9516.77,3602.95,-326.685,5170.95,665.741,0,5115.38,5632.6,-64.3631,5269,-5956.17,-2267.25,5171
single,0,0,91000,77,1,0,0,0,0,0,0.333333,24.6667,9948.71,3819.65,-212.487,5175.85,885.741,0,5115.38,5888.89,-145.894,5292.87,-6166.12,-2271.26,5173.25
single,0,0,91000,78,1,0,0,0,0,0,0.333333,25.3333,10382.3,4036.35,-98.2885,5180.75,1105.74,0,5115.38,6146.13,-227.729,5287.47,-6376.07,-2275.27,5175.5
single,0,0,91000,79,1,0,0,0,0,0,0.333333,26,10817,4253.05,15.9097,5185.65,1325.74,0,5115.38,6402.42,-309.26,5311.33,-6586.02,-2279.28,5177.75
single,0,0,91000,80,1,0,0,0,0,0,0.333333,26.6667,11252.9,4469.76,130.108,5190.55,1545.74,0,5115.38,6659.66,-391.095,5305.93,-6795.97,-2283.29,5180
single,0,0,91000,81,1,0,0,0,0,0,0.333333,27.3333,11689.7,4686.46,244.306,5195.45,1765.74,0,5115.38,6915.95,-472.626,5329.79,-7005.92,-2287.3,5182.25
single,0,0,91000,82,1,0,0,0,0,0,0.333333,28,12127.5,4903.16,358.504,5200.35,1985.74,0,5115.38,7173.19,-554.461,5324.4,-7215.87,-2291.31,5184.5
single,0,0,91000,83,1,0,0,0,0,0,0.333333,28.6667,12565.8,5119.86,472.703,5205.25,2205.74,0,5115.38,7429.48,-635.992,5348.26,-7425.82,-2295.32,5186.75
single,0,0,91000,84,1,0,0,0,0,0,0.333333,29.3333,13005.1,5336.56,586.901,5210.15,2425.74,0,5115.38,7686.72,-717.827,5342.86,-7635.77,-2299.33,5189
single,0,0,91000,85,1,0,0,0,0,0,0.333333,30,13444.8,5553.27,701.099,5215.05,2645.74,0,5115.38,7943.01,-799.359,5366.72,-7845.72,-2303.34,5191.25
single,0,0,91000,86,1,0,0,0,0,0,0.333333,30.6667,13885.3,5769.97,815.297,5219.95,2865.74,0,5115.38,8200.25,-881.194,5361.32,-8055.67,-2307.35,5193.5
single,0,0,91000,87,1,0,0,0,0,0,0.333333,31.3333,14326.1,5986.67,929.495,5224.85,3085.74,0,5115.38,8456.54,-962.725,5385.19,-8265.62,-2311.36,5195.75
single,0,0,91000,88,1,0,0,0,0,0,0.333333,32,14767.5,6203.37,1043.69,5229.75,3305.74,0,5115.38,8713.78,-1044.56,5379.79,-8475.57,-2315.37,5198
single,0,0,91000,89,1,0,0,0,0,0,0.333333,32.6667,15209.2,6420.08,1157.89,5234.65,3525.74,0,5115.38,8970.07,-1126.09,5403.65,-8685.52,-2319.38,5200.25
single,0,0,91000,90,1,0,0,0,0,0,0.333333,33.3333,15651.5,6636.78,1272.09,5239.55,3745.74,0,5115.38,9227.31,-1207.93,5398.25,-8895.47,-2323.39,5202.5
single,0,0,91000,91,1,0,0,0,0,0,0.333333,34,16093.9,6853.48,1386.29,5244.45,3965.74,0,5115.38,9483.6,-1289.46,5422.12,-9105.42,-2327.4,5204.75
single,0,0,91000,92,1,0,0,0,0,0,0.333333,34.6667,16536.8,7070.18,1500.49,5249.35,4185.74,0,5115.38,9740.84,-1371.29,5416.72,-9315.37,-2331.41,5207
single,0,0,91000,93,1,0,0,0,0,0,0.333333,35.3333,16979.9,7286.88,1614.68,5254.25,4405.74,0,5115.38,9997.13,-1452.82,5440.58,-9525.31,-2335.42,5209.25
single,0,0,91000,94,1,0,0,0,0,0,0.333333,36,17423.4,7503.59,1728.88,5259.15,4625.74,0,5115.38,10254.4,-1534.66,5435.18,-9735.26,-2339.43,5211.5
single,0,0,91000,95,1,0,0,0,0,0,0.333333,36.6667,17867,7720.29,1843.08,5264.05,4845.74,0,5115.38,10510.7,-1616.19,5459.04,-9945.21,-2343.44,5213.75
single,0,0,91000,96,1,0,0,0,0,0,0.333333,37.3333,18311,7936.99,1957.28,5268.95,5065.74,0,5115.38,10767.9,-1698.02,5453.65,-10155.2,-2347.45,5216
single,0,0,91000,97,1,0,0,0,0,0,0.333333,38,18755,8153.69,2071.48,5273.85,5285.74,0,5115.38,11024.2,-1779.56,5477.51,-10365.1,-2351.46,5218.25
single,0,0,91000,98,1,0,0,0,0,0,0.333333,38.6667,19199.5,8370.39,2185.68,5278.75,5505.74,0,5115.38,11281.4,-1861.39,5472.11,-10575.1,-2355.47,5220.5
single,0,0,91000,99,1,0,0,0,0,0,0.333333,39.3333,19643.9,8587.1,2299.87,5283.65,5725.74,0,5115.38,11537.7,-1942.92,5495.97,-10785,-2359.48,5222.75
single,0,0,91000,100,1,0,0,0,0,0,0.333333,40,20088.8,8803.8,2414.07,5288.55,5945.74,0,5115.38,11795,-2024.76,5490.57,-10995,-2363.49,5225
single,0,0,91000,101,1,0,0,0,0,0,0.333333,40.6667,20533.5,9020.5,2528.27,5293.45,6165.74,0,5115.38,12051.3,-2106.29,5514.44,-11204.9,-2367.5,5227.25
single,0,0,91000,102,1,0,0,0,0,0,0.333333,41.3333,20978.7,9237.2,2642.47,5298.35,6385.74,0,5115.38,12308.5,-2188.12,5509.04,-11414.9,-2371.51,5229.5
single,0,0,91000,103,1,0,0,0,0,0,0.333333,42,21423.8,9453.91,2756.67,5303.25,6605.74,0,5115.38,12564.8,-2269.65,5532.9,-11624.8,-2375.52,5231.75
single,0,0,91000,104,1,0,0,0,0,0,0.333333,42.6667,21869.2,9670.61,2870.87,5308.15,6825.74,0,5115.38,12822,-2351.49,5527.5,-11834.8,-2379.53,5234
single,0,0,91000,105,1,0,0,0,0,0,0.333333,43.3333,22314.6,9887.31,2985.06,5313.05,7045.74,0,5115.38,13078.3,-2433.02,5551.37,-12044.7,-2383.54,5236.25
single,0,0,91000,106,1,0,0,0,0,0,0.333333,44,22760.3,10104,3099.26,5317.95,7265.74,0,5115.38,13335.6,-2514.85,5545.97,-12254.7,-2387.55,5238.5
single,0,0,91000,107,1,0,0,0,0,0,0.333333,44.6667,23205.9,10320.7,3213.46,5322.85,7485.74,0,5115.38,13591.8,-2596.39,5569.83,-12464.6,-2391.56,5240.75
single,0,0,91000,108,1,0,0,0,0,0,0.333333,45.3333,23651.8,10537.4,3327.66,5327.75,7705.74,0,5115.38,13849.1,-2678.22,5564.43,-12674.6,-2395.57,5243
single,0,0,91000,109,1,0,0,0,0,0,0.333333,46,24097.6,10754.1,3441.86,5332.65,7925.74,0,5115.38,14105.4,-2759.75,5588.3,-12884.5,-2399.58,5245.25
single,0,0,91000,110,1,0,0,0,0,0,0.333333,46.6667,24543.7,10970.8,3556.05,5337.55,8145.74,0,5115.38,14362.6,-2841.59,5582.9,-13094.5,-2403.59,5247.5
single,0,0,91000,111,1,0,0,0,0,0,0.333333,47.3333,24989.7,11187.5,3670.25,5342.45,8365.74,0,5115.38,14618.9,-2923.12,5606.76,-13304.4,-2407.6,5249.75
single,0,0,91000,112,1,0,0,0,0,0,0.333333,48,25436,11404.2,3784.45,5347.35,8585.74,0,5115.38,14876.1,-3004.95,5601.36,-13514.3,-2411.61,5252
single,0,0,91000,113,1,0,0,0,0,0,0.333333,48.6667,25882.2,11620.9,3898.65,5352.25,8805.74,0,5115.38,15132.4,-3086.48,5625.22,-13724.3,-2415.62,5254.25
single,0,0,91000,114,1,0,0,0,0,0,0.333333,49.3333,26328.7,11837.6,4012.85,5357.15,9025.74,0,5115.38,15389.7,-3168.32,5619.82,-13934.2,-2419.63,5256.5
single,0,0,91000,115,1,0,0,0,0,0,0.333333,50,26775,12054.3,4127.05,5362.05,9245.74,0,5115.38,15646,-3249.85,5643.69,-14144.2,-2423.64,5258.75
single,0,0,91000,116,1,0,0,0,0,0,0.333333,50.6667,27221.6,12271,4241.24,5366.95,9465.74,0,5115.38,15903.2,-3331.68,5638.29,-14354.1,-2427.65,5261
single,0,0,91000,117,1,0,0,0,0,0,0,51.6667,27668.1,12487.7,4355.44,5371.85,9685.74,0,5115.38,16159.5,-3413.22,5662.15,-14564.1,-2431.66,5263.25
single,0,0,91000,118,1,0,0,0,0,0,0,52.6667,28114.8,12704.4,4469.64,5376.75,9905.74,0,5115.38,16416.7,-3495.05,5656.75,-14774,-2435.67,5265.5
single,0,0,91000,119,1,0,0,0,0,0,0,53.6667,28561.4,12921.1,4583.84,5381.65,10125.7,0,5115.38,16673,-3576.58,5680.62,-14984,-2439.68,5267.75
single,0,0,91000,120,0,0,0,0,0,0,0,54.6667,29008.3,13137.8,4698.04,5386.55,10345.7,0,5115.38,16930.3,-3658.42,5675.22,-15193.9,-2443.69,5270
single,0,0,91000,121,0,0,0,0,0,0,1,1.66667,29455,13354.5,4812.24,5391.45,10565.7,0,5115.38,17186.6,-3739.95,5699.08,-15403.9,-2447.7,5272.25
single,0,0,91000,122,0,0,0,0,0,0,1,2,29901.9,13571.2,4926.43,5396.35,10785.7,0,5115.38,17443.8,-3821.78,5693.68,-15613.8,-2451.71,5274.5
single,0,0,91000,123,0,0,0,0,0,0,1,2.33333,30349,13787.9,5040.63,5401.25,11005.7,0,5115.38,17701,-3903.62,5688.28,-15823.8,-2455.72,5276.75
single,0,0,91000,124,0,0,0,0,0,0,1,2.66667,30796,14004.7,5154.83,5406.15,11225.7,0,5115.38,17958.3,-3985.45,5682.88,-16033.7,-2459.73,5279
single,0,0,91000,125,0,0,0,0,0,0,1,3,31243.2,14221.4,5269.03,5411.05,11445.7,0,5115.38,18215.5,-4067.29,5677.48,-16243.7,-2463.74,5281.25
single,0,0,91000,126,0,0,0,0,0,0,1,3.33333,31690.3,14438.1,5383.23,5415.95,11665.7,0,5115.38,18472.8,-4149.12,5672.08,-16453.6,-2467.75,5283.5
single,0,0,91000,127,0,0,0,0,0,0,1,3.66667,32137.5,14654.8,5497.42,5420.85,11885.7,0,5115.38,18730,-4230.96,5666.69,-16663.6,-2471.76,5285.75
single,0,0,91000,128,0,0,0,0,0,0,1,4,32584.8,14871.5,5611.62,5425.75,12105.7,0,5115.38,18987.2,-4312.79,5661.29,-16873.5,-2475.77,5288
single,0,0,91000,129,0,0,0,0,0,0,1,4.33333,33032.1,15088.2,5725.82,5430.65,12325.7,0,5115.38,19244.5,-4394.63,5655.89,-17083.5,-2479.78,5290.25
single,0,0,91000,130,0,0,0,0,0,0,1,4.66667,33479.4,15304.9,5840.02,5435.55,12545.7,0,5115.38,19501.7,-4476.46,5650.49,-17293.4,-2483.79,5292.5
single,0,0,91000,131,0,0,0,0,0,0,1,5,33926.8,15521.6,5954.22,5440.45,12765.7,0,5115.38,19759,-4558.3,5645.09,-17503.4,-2487.8,5294.75
single,0,0,91000,132,0,0,0,0,0,0,1,5.33333,34374.2,15738.3,6068.42,5445.35,12985.7,0,5115.38,20016.2,-4640.13,5639.69,-17713.3,-2491.81,5297
single,0,0,91000,133,0,0,0,0,0,0,0.333333,6,34821.7,15955,6182.61,5450.25,13205.7,0,5115.38,20273.5,-4721.97,5634.29,-17923.3,-2495.82,5299.25
single,0,0,91000,134,0,0,0,0,0,0,0.333333,6.66667,35269.1,16171.7,6296.81,5455.15,13425.7,0,5115.38,20530.7,-4803.8,5628.89,-18133.2,-2499.83,5301.5
single,0,0,91000,135,0,0,0,0,0,0,0.333333,7.33333,35716.6,16388.4,6411.01,5460.05,13645.7,0,5115.38,20787.9,-4885.64,5623.49,-18343.2,-2503.84,5303.75
single,0,0,91000,136,0,0,0,0,0,0,0.333333,8,36164.2,16605.1,6525.21,5464.95,13865.7,0,5115.38,21045.2,-4967.47,5618.09,-18553.1,-2507.85,5306
single,0,0,91000,137,0,0,0,0,0,0,0.333333,8.66667,36611.8,16821.8,6639.41,5469.85,14085.7,0,5115.38,21302.4,-5049.31,5612.69,-18763.1,-2511.86,5308.25
single,0,0,91000,138,0,0,0,0,0,0,0.333333,9.33333,37059.4,17038.5,6753.61,5474.75,14305.7,0,5115.38,21559.7,-5131.14,5607.29,-18973,-2515.87,5310.5
single,0,0,91000,139,0,0,0,0,0,0,0.333333,10,37507,17255.2,6867.8,5479.65,14525.7,0,5115.38,21816.9,-5212.98,5601.89,-19183,-2519.88,5312.75
single,0,0,91000,140,0,0,0,0,0,0,0.333333,10.6667,37954.7,17471.9,6982,5484.55,14745.7,0,5115.38,22074.2,-5294.81,5596.49,-19392.9,-2523.89,5315
single,0,0,91000,141,0,0,0,0,0,0,0.333333,11.3333,38402.3,17688.6,7096.2,5489.45,14965.7,0,5115.38,22331.4,-5376.65,5591.09,-19602.9,-2527.9,5317.25
single,0,0,91000,142,0,0,0,0,0,0,0.333333,12,38850.1,17905.3,7210.4,5494.35,15185.7,0,5115.38,22588.6,-5458.48,5585.69,-19812.8,-2531.91,5319.5
single,0,0,91000,143,0,0,0,0,0,0,0.333333,12.6667,39297.8,18122,7324.6,5499.25,15405.7,0,5115.38,22845.9,-5540.32,5580.29,-20022.8,-2535.92,5321.75
