graph_encoder,train_seed,episode,rollout_seed,step,relative_step,node_failure_active,tracking_rate,comm_connectivity,chain_closed,attack_window_rate,mean_message_age,mean_range,success,timeout,collision
single,1,16,310016,96,56,1,0,0,0,0,49.6667,14209.8,0,0,0
single,1,16,310016,97,57,1,0,0,0,0,50.6667,14513.2,0,0,0
single,1,16,310016,98,58,1,0,0,0,0,51.6667,14809.3,0,0,0
single,1,16,310016,99,59,1,0,0,0,0,52.6667,15110.1,0,0,0
single,1,16,310016,100,60,1,0,0,0,0,53.6667,15414.9,0,0,0
single,1,16,310016,101,61,1,0,0,0,0,54.6667,15724.1,0,0,0
single,1,16,310016,102,62,1,0,0,0,0,55.6667,16033.9,0,0,0
single,1,16,310016,103,63,1,0,0,0,0,56.6667,16339.3,0,0,0
single,1,16,310016,104,64,1,0,0,0,0,57.6667,16648.5,0,0,0
single,1,16,310016,105,65,1,0,0,0,0,58.6667,16961.9,0,0,0
single,1,16,310016,106,66,1,0,0,0,0,59.6667,17278.9,0,0,0
single,1,16,310016,107,67,1,0,0,0,0,60.6667,17599.8,0,0,0
single,1,16,310016,108,68,1,0,0,0,0,61.6667,17921.1,0,0,0
single,1,16,310016,109,69,1,0,0,0,0,62.6667,18238.4,0,0,0
single,1,16,310016,110,70,1,0,0,0,0,63.6667,18559.2,0,0,0
single,1,16,310016,111,71,1,0,0,0,0,64.6667,18883.6,0,0,0
single,1,16,310016,112,72,1,0,0,0,0,65.6667,19211.1,0,0,0
single,1,16,310016,113,73,1,0,0,0,0,66.6667,19541.9,0,0,0
single,1,16,310016,114,74,1,0,0,0,0,67.6667,19875.4,0,0,0
single,1,16,310016,115,75,1,0,0,0,0,68.6667,20211.9,0,0,0
single,1,16,310016,116,76,1,0,0,0,0,69.6667,20550.7,0,0,0
single,1,16,310016,117,77,1,0,0,0,0,70.6667,20891.9,0,0,0
single,1,16,310016,118,78,1,0,0,0,0,71.6667,21235.4,0,0,0
single,1,16,310016,119,79,1,0,0,0,0,72.6667,21580.8,0,0,0
single,1,16,310016,120,80,0,0,0,0,0,73.6667,21928.1,0,0,0
single,1,16,310016,121,81,0,0,0,0,0,74.6667,22277.1,0,0,0
single,1,16,310016,122,82,0,0,0,0,0,75.6667,22627.6,0,0,0
single,1,16,310016,123,83,0,0,0,0,0,76.6667,22979.4,0,0,0
single,1,16,310016,124,84,0,0,0,0,0,77.6667,23332.4,0,0,0
single,1,16,310016,125,85,0,0,0,0,0,78.6667,23686.4,0,0,0
single,1,16,310016,126,86,0,0,0,0,0,79.6667,24041.2,0,0,0
single,1,16,310016,127,87,0,0,0,0,0,80.6667,24396.7,0,0,0
single,1,16,310016,128,88,0,0,0,0,0,81.6667,24752.8,0,0,0
single,1,16,310016,129,89,0,0,0,0,0,82.6667,25109.1,0,0,0
single,1,16,310016,130,90,0,0,0,0,0,83.6667,25465.7,0,0,0
single,1,16,310016,131,91,0,0,0,0,0,84.6667,25822.3,0,0,0
single,1,16,310016,132,92,0,0,0,0,0,85.6667,26178.3,0,0,0
single,1,16,310016,133,93,0,0,0,0,0,86.6667,26534,0,0,0
single,1,16,310016,134,94,0,0,0,0,0,87.6667,26889.4,0,0,0
single,1,16,310016,135,95,0,0,0,0,0,88.6667,27244.2,0,0,0
single,1,16,310016,136,96,0,0,0,0,0,89.6667,27598,0,0,0
single,1,16,310016,137,97,0,0,0,0,0,90.6667,27951,0,0,0
single,1,16,310016,138,98,0,0,0,0,0,91.6667,28303.1,0,0,0
single,1,16,310016,139,99,0,0,0,0,0,92.6667,28654.2,0,0,0
single,1,16,310016,140,100,0,0,0,0,0,93.6667,29004.1,0,0,0
single,1,16,310016,141,101,0,0,0,0,0,94.6667,29352.8,0,0,0
single,1,16,310016,142,102,0,0,0,0,0,95.6667,29700,0,0,0
single,1,16,310016,143,103,0,0,0,0,0,96.6667,30045.8,0,0,0
single,1,16,310016,144,104,0,0,0,0,0,97.6667,30389.9,0,0,0
single,1,16,310016,145,105,0,0,0,0,0,98.6667,30732.3,0,0,0
single,1,16,310016,146,106,0,0,0,0,0,99.6667,31072.9,0,0,0
single,1,16,310016,147,107,0,0,0,0,0,100.667,31411.5,0,0,0
single,1,16,310016,148,108,0,0,0,0,0,101.667,31748.1,0,0,0
single,1,16,310016,149,109,0,0,0,0,0,102.667,32082.6,0,0,0
single,1,16,310016,150,110,0,0,0,0,0,103.667,32414.8,0,0,0
single,1,16,310016,151,111,0,0,0,0,0,104.667,32744.7,0,0,0
single,1,16,310016,152,112,0,0,0,0,0,105.667,33072.2,0,0,0
single,1,16,310016,153,113,0,0,0,0,0,106.667,33397.3,0,0,0
single,1,16,310016,154,114,0,0,0,0,0,107.667,33719.8,0,0,0
single,1,16,310016,155,115,0,0,0,0,0,108.667,34039.6,0,0,0
single,1,16,310016,156,116,0,0,0,0,0,109.667,34356.8,0,0,0
single,1,16,310016,157,117,0,0,0,0,0,110.667,34671.1,0,0,0
single,1,16,310016,158,118,0,0,0,0,0,111.667,34982.7,0,0,0
single,1,16,310016,159,119,0,0,0,0,0,112.667,35291.3,0,0,0
single,1,16,310016,160,120,0,0,0,0,0,113.667,35597.1,0,0,0
single,1,16,310016,161,121,0,0,0,0,0,114.667,35899.8,0,0,0
single,1,16,310016,162,122,0,0,0,0,0,115.667,36199.5,0,0,0
single,1,16,310016,163,123,0,0,0,0,0,116.667,36496.1,0,0,0
single,1,16,310016,164,124,0,0,0,0,0,117.667,36789.6,0,0,0
single,1,16,310016,165,125,0,0,0,0,0,118.667,37080,0,0,0
single,1,16,310016,166,126,0,0,0,0,0,119.667,37367.2,0,0,0
single,1,16,310016,167,127,0,0,0,0,0,120.667,37651.2,0,0,0
single,1,16,310016,168,128,0,0,0,0,0,121.667,37932,0,0,0
single,1,16,310016,169,129,0,0,0,0,0,122.667,38209.6,0,0,0
single,1,16,310016,170,130,0,0,0,0,0,123.667,38484,0,0,0
single,1,16,310016,171,131,0,0,0,0,0,124.667,38755.2,0,0,0
single,1,16,310016,172,132,0,0,0,0,0,125.667,39022.7,0,0,0
single,1,16,310016,173,133,0,0,0,0,0,126.667,39287,0,0,0
single,1,16,310016,174,134,0,0,0,0,0,127.667,39548.7,0,0,0
single,1,16,310016,175,135,0,0,0,0,0,128.667,39807.4,0,0,0
single,1,16,310016,176,136,0,0,0,0,0,129.667,40062.3,0,0,0
single,1,16,310016,177,137,0,0,0,0,0,130.667,40314.1,0,0,0
single,1,16,310016,178,138,0,0,0,0,0,131.667,40563.5,0,0,0
single,1,16,310016,179,139,0,0,0,0,0,132.667,40809.3,0,0,0
single,1,16,310016,180,140,0,0,0,0,0,133.667,41052.7,0,0,0
single,1,16,310016,181,141,0,0,0,0,0,134.667,41293.4,0,0,0
single,1,16,310016,182,142,0,0,0,0,0,135.667,41530.6,0,0,0
single,1,16,310016,183,143,0,0,0,0,0,136.667,41765.1,0,0,0
single,1,16,310016,184,144,0,0,0,0,0,137.667,41997.5,0,0,0
single,1,16,310016,185,145,0,0,0,0,0,138.667,42227.5,0,0,0
single,1,16,310016,186,146,0,0,0,0,0,139.667,42454.4,0,0,0
single,1,16,310016,187,147,0,0,0,0,0,140.667,42679,0,0,0
single,1,16,310016,188,148,0,0,0,0,0,141.667,42901.8,0,0,0
single,1,16,310016,189,149,0,0,0,0,0,142.667,43122.7,0,0,0
single,1,16,310016,190,150,0,0,0,0,0,143.667,43341,0,0,0
single,1,16,310016,191,151,0,0,0,0,0,144.667,43557.5,0,0,0
single,1,16,310016,192,152,0,0,0,0,0,145.667,43772.8,0,0,0
single,1,16,310016,193,153,0,0,0,0,0,146.667,43986.1,0,0,0
single,1,16,310016,194,154,0,0,0,0,0,147.667,44198.5,0,0,0
single,1,16,310016,195,155,0,0,0,0,0,148.667,44409.8,0,0,0
single,1,16,310016,196,156,0,0,0,0,0,149.667,44619.4,0,0,0
single,1,16,310016,197,157,0,0,0,0,0,150.667,44828.3,0,0,0
single,1,16,310016,198,158,0,0,0,0,0,151.667,45036.9,0,0,0
single,1,16,310016,199,159,0,0,0,0,0,152.667,45245.1,0,0,0
single,1,16,310016,200,160,0,0,0,0,0,153.667,45452.5,0,0,0
single,1,16,310016,201,161,0,0,0,0,0,154.667,45659.9,0,0,0
single,1,16,310016,202,162,0,0,0,0,0,155.667,45867.9,0,0,0
single,1,16,310016,203,163,0,0,0,0,0,156.667,46076.2,0,0,0
single,1,16,310016,204,164,0,0,0,0,0,157.667,46284.7,0,0,0
single,1,16,310016,205,165,0,0,0,0,0,158.667,46491.9,0,0,0
single,1,16,310016,206,166,0,0,0,0,0,159.667,46698.1,0,0,0
single,1,16,310016,207,167,0,0,0,0,0,160.667,46902.5,0,0,0
single,1,16,310016,208,168,0,0,0,0,0,161.667,47105.6,0,0,0
single,1,16,310016,209,169,0,0,0,0,0,162.667,47306.9,0,0,0
single,1,16,310016,210,170,0,0,0,0,0,163.667,47506.4,0,0,0
single,1,16,310016,211,171,0,0,0,0,0,164.667,47704.4,0,0,0
single,1,16,310016,212,172,0,0,0,0,0,165.667,47905.9,0,0,0
single,1,16,310016,213,173,0,0,0,0,0,166.667,48110.8,0,0,0
single,1,16,310016,214,174,0,0,0,0,0,167.667,48319.2,0,0,0
single,1,16,310016,215,175,0,0,0,0,0,168.667,48531.5,0,0,0
single,1,16,310016,216,176,0,0,0,0,0,169.667,48748,0,0,0
single,1,16,310016,217,177,0,0,0,0,0,170.667,48968.7,0,0,0
single,1,16,310016,218,178,0,0,0,0,0,171.667,49193.5,0,0,0
single,1,16,310016,219,179,0,0,0,0,0,172.667,49422.9,0,0,0
single,1,16,310016,220,180,0,0,0,0,0,173.667,49657.1,0,0,0
single,1,16,310016,221,181,0,0,0,0,0,174.667,49895.8,0,0,0
single,1,16,310016,222,182,0,0,0,0,0,175.667,50139.6,0,0,0
single,1,16,310016,223,183,0,0,0,0,0,176.667,50388.3,0,0,0
single,1,16,310016,224,184,0,0,0,0,0,177.667,50641.9,0,0,0
single,1,16,310016,225,185,0,0,0,0,0,178.667,50900.5,0,0,0
single,1,16,310016,226,186,0,0,0,0,0,179.667,51164.6,0,0,0
single,1,16,310016,227,187,0,0,0,0,0,180.667,51433.7,0,0,0
single,1,16,310016,228,188,0,0,0,0,0,181.667,51707.9,0,0,0
single,1,16,310016,229,189,0,0,0,0,0,182.667,51987.3,0,0,0
single,1,16,310016,230,190,0,0,0,0,0,183.667,52273.7,0,0,0
single,1,16,310016,231,191,0,0,0,0,0,184.667,52566.3,0,0,0
single,1,16,310016,232,192,0,0,0,0,0,185.667,52864.5,0,0,0
single,1,16,310016,233,193,0,0,0,0,0,186.667,53168.2,0,0,0
single,1,16,310016,234,194,0,0,0,0,0,187.667,53476.8,0,0,0
single,1,16,310016,235,195,0,0,0,0,0,188.667,53789.5,0,0,0
single,1,16,310016,236,196,0,0,0,0,0,189.667,54106.2,0,0,0
single,1,16,310016,237,197,0,0,0,0,0,190.667,54426,0,0,0
single,1,16,310016,238,198,0,0,0,0,0,191.667,54748.4,0,0,0
single,1,16,310016,239,199,0,0,0,0,0,192.667,55072.9,0,0,0
single,1,16,310016,240,200,0,0,0,0,0,193.667,55399.2,0,0,0
single,1,16,310016,241,201,0,0,0,0,0,194.667,55726.4,0,0,0
single,1,16,310016,242,202,0,0,0,0,0,195.667,56054,0,0,0
single,1,16,310016,243,203,0,0,0,0,0,196.667,56381.6,0,0,0
single,1,16,310016,244,204,0,0,0,0,0,197.667,56704.3,0,0,0
single,1,16,310016,245,205,0,0,0,0,0,198.667,57021.4,0,0,0
single,1,16,310016,246,206,0,0,0,0,0,199.667,57332.1,0,0,0
single,1,16,310016,247,207,0,0,0,0,0,200.667,57635.7,0,0,0
single,1,16,310016,248,208,0,0,0,0,0,201.667,57931.8,0,0,0
single,1,16,310016,249,209,0,0,0,0,0,202.667,58219.2,0,0,0
single,1,16,310016,250,210,0,0,0,0,0,203.667,58497.9,0,0,0
single,1,16,310016,251,211,0,0,0,0,0,204.667,58769.3,0,0,0
single,1,16,310016,252,212,0,0,0,0,0,205.667,59035,0,0,0
single,1,16,310016,253,213,0,0,0,0,0,206.667,59294.4,0,0,0
single,1,16,310016,254,214,0,0,0,0,0,207.667,59547.2,0,0,0
single,1,16,310016,255,215,0,0,0,0,0,208.667,59792.5,0,0,0
single,1,16,310016,256,216,0,0,0,0,0,209.667,60029.8,0,0,0
single,1,16,310016,257,217,0,0,0,0,0,210.667,60258.6,0,0,0
single,1,16,310016,258,218,0,0,0,0,0,211.667,60478.5,0,0,0
single,1,16,310016,259,219,0,0,0,0,0,212.667,60688.8,0,0,0
single,1,16,310016,260,220,0,0,0,0,0,213.667,60889.9,0,1,0
multi_relation,1,16,310016,1,-39,0,0,1,0,0,86.6667,24674.4,0,0,0
multi_relation,1,16,310016,2,-38,0,0,0.666667,0,0,86.8333,24245,0,0,0
multi_relation,1,16,310016,3,-37,0,0,0.5,0,0,87,23797.7,0,0,0
